Orthogroup	ASTMX	CAPO3
OG0000225	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717	CAPO305347
OG0000226	ASTMX03292	CAPO306934
OG0000226	ASTMX10407	CAPO303463
OG0000234	ASTMX02457, ASTMX11930, ASTMX03378, ASTMX21596, ASTMX09075, ASTMX14217, ASTMX02028, ASTMX03572	CAPO301359
OG0000238	ASTMX07705, ASTMX20450, ASTMX07704	CAPO305428
OG0000239	ASTMX07645, ASTMX14835, ASTMX20429, ASTMX05441, ASTMX01276, ASTMX03280, ASTMX14116, ASTMX21438, ASTMX15869, ASTMX10448, ASTMX21437, ASTMX01895	CAPO302089
OG0000240	ASTMX10617	CAPO303214
OG0000242	ASTMX04049, ASTMX03054	CAPO304847
OG0000244	ASTMX01790, ASTMX01791, ASTMX05536, ASTMX00432, ASTMX01984, ASTMX17641, ASTMX00972, ASTMX16602, ASTMX08895, ASTMX21456, ASTMX15853, ASTMX06255, ASTMX15851, ASTMX07398	CAPO301556
OG0000246	ASTMX19738, ASTMX03325	CAPO303496
OG0000248	ASTMX14140, ASTMX14138, ASTMX19921, ASTMX21287, ASTMX14135, ASTMX14137, ASTMX14134, ASTMX11343, ASTMX11267, ASTMX06856, ASTMX21086, ASTMX06855	CAPO307635, CAPO302481, CAPO302487
OG0000250	ASTMX22935, ASTMX21081	CAPO305827
OG0000255	ASTMX15208	CAPO301531
OG0000255	ASTMX00265	CAPO300499
OG0000256	ASTMX14236, ASTMX14182, ASTMX17896	CAPO307884
OG0000256	ASTMX08211, ASTMX08210, ASTMX05152	CAPO306483
OG0000257	ASTMX01595, ASTMX20351, ASTMX06234, ASTMX21561, ASTMX08510, ASTMX01271, ASTMX07606, ASTMX08826, ASTMX13542	CAPO300414
OG0000258	ASTMX13949, ASTMX09429, ASTMX02019, ASTMX10822, ASTMX04575, ASTMX10602, ASTMX16862	CAPO301746
