Orthogroup	ASTMX	LYTVA_ok
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455
OG0000089	ASTMX10521	LYTVA_19844
OG0000089	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	LYTVA_06777, LYTVA_25975
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	LYTVA_02577
OG0000090	ASTMX12258, ASTMX10648	LYTVA_18395, LYTVA_13128
OG0000091	ASTMX03395	LYTVA_04137
OG0000093	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104
OG0000094	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	LYTVA_10290
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671	LYTVA_09221
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	LYTVA_28490
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	LYTVA_12286
OG0000096	ASTMX18278, ASTMX15892	LYTVA_21388
OG0000096	ASTMX09859	LYTVA_10606
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	LYTVA_19397
OG0000096	ASTMX19590, ASTMX07352	LYTVA_24298
OG0000096	ASTMX10423, ASTMX12959	LYTVA_20858
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	LYTVA_15643
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	LYTVA_24589, LYTVA_16909
OG0000099	ASTMX21430	LYTVA_22524, LYTVA_05673, LYTVA_26003
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	LYTVA_09301, LYTVA_14363, LYTVA_14362
OG0000101	ASTMX00206, ASTMX00424	LYTVA_13163
OG0000101	ASTMX08413	LYTVA_03793
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	LYTVA_25292, LYTVA_25291
OG0000102	ASTMX10991, ASTMX16111	LYTVA_23145
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	LYTVA_05784
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	LYTVA_08412
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	LYTVA_24486
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	LYTVA_21210
OG0000104	ASTMX19420	LYTVA_17807
OG0000104	ASTMX03728, ASTMX07045	LYTVA_17806
OG0000104	ASTMX00149	LYTVA_12502
OG0000104	ASTMX00709, ASTMX16073	LYTVA_12996
OG0000106	ASTMX03154	LYTVA_01037
OG0000106	ASTMX10570, ASTMX00462	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256
OG0000110	ASTMX08508	LYTVA_29623, LYTVA_02879, LYTVA_11692, LYTVA_23200, LYTVA_23199, LYTVA_05602, LYTVA_12820, LYTVA_03446, LYTVA_06301, LYTVA_17449, LYTVA_27975, LYTVA_20694, LYTVA_00973, LYTVA_27976, LYTVA_05807, LYTVA_30126, LYTVA_30125
OG0000113	ASTMX19383, ASTMX05472	LYTVA_11625
OG0000113	ASTMX07205	LYTVA_11752, LYTVA_11754
OG0000113	ASTMX07206	LYTVA_06725
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	LYTVA_18980, LYTVA_05208, LYTVA_13458
OG0000115	ASTMX01700, ASTMX08993, ASTMX16595	LYTVA_15799, LYTVA_02089
OG0000116	ASTMX01410	LYTVA_00275, LYTVA_00276, LYTVA_12381
OG0000117	ASTMX10401	LYTVA_05761
OG0000117	ASTMX14023	LYTVA_09978, LYTVA_12539, LYTVA_20571, LYTVA_17624
OG0000118	ASTMX10091, ASTMX22719	LYTVA_06498, LYTVA_20616, LYTVA_18809, LYTVA_25205, LYTVA_09776, LYTVA_10638, LYTVA_02421, LYTVA_15905, LYTVA_02936, LYTVA_12695, LYTVA_05148, LYTVA_01270, LYTVA_04907, LYTVA_00133, LYTVA_17726, LYTVA_07442, LYTVA_02178, LYTVA_19831, LYTVA_11339, LYTVA_06499, LYTVA_15511, LYTVA_17772, LYTVA_22315, LYTVA_29365, LYTVA_29944, LYTVA_23680, LYTVA_18427, LYTVA_24812, LYTVA_04343, LYTVA_18742, LYTVA_27682, LYTVA_16924, LYTVA_21691, LYTVA_24369, LYTVA_21693, LYTVA_00776, LYTVA_21201, LYTVA_20406, LYTVA_10883, LYTVA_29695, LYTVA_15401, LYTVA_11285, LYTVA_06788, LYTVA_02125, LYTVA_04585, LYTVA_18810, LYTVA_05149
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636	LYTVA_11474
OG0000119	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905	LYTVA_08592, LYTVA_07119, LYTVA_19356
OG0000119	ASTMX00656, ASTMX18233	LYTVA_04285, LYTVA_11467
OG0000121	ASTMX16272, ASTMX04663, ASTMX01517	LYTVA_23606, LYTVA_10086
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832	LYTVA_10750
OG0000122	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	LYTVA_18458
OG0000123	ASTMX19107, ASTMX20866, ASTMX07971, ASTMX04078	LYTVA_03404
OG0000123	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212	LYTVA_12956
OG0000123	ASTMX14814, ASTMX00304	LYTVA_28852, LYTVA_16769
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	LYTVA_14993
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	LYTVA_27850
OG0000124	ASTMX10817, ASTMX14412	LYTVA_05622
OG0000124	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824	LYTVA_20699
OG0000125	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329	LYTVA_16406
