Orthogroup	ASTMX	STRPU_ok
OG0000059	ASTMX20918	STRPU_05220
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005
OG0000060	ASTMX04292, ASTMX07603	STRPU_24855
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	STRPU_12994
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	STRPU_13962
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	STRPU_02428, STRPU_13635
OG0000061	ASTMX18729, ASTMX15987	STRPU_13960, STRPU_13959, STRPU_13958
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408
OG0000062	ASTMX01260	STRPU_08191
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	STRPU_18989
OG0000063	ASTMX11259, ASTMX01032	STRPU_23711
OG0000063	ASTMX13777	STRPU_18990, STRPU_18981, STRPU_07188
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	STRPU_18657
OG0000066	ASTMX01776	STRPU_19100
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385
OG0000068	ASTMX15456	STRPU_23284
OG0000068	ASTMX03045, ASTMX22587, ASTMX22308	STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939
OG0000070	ASTMX03868, ASTMX11850	STRPU_17447, STRPU_05505
OG0000070	ASTMX17316, ASTMX02948	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932
OG0000072	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521	STRPU_05231
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	STRPU_05349
OG0000072	ASTMX11250, ASTMX11618	STRPU_05343
OG0000072	ASTMX02462	STRPU_04704, STRPU_04707
OG0000073	ASTMX22931	STRPU_08362
OG0000073	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619	STRPU_14789
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186
OG0000074	ASTMX12476	STRPU_05573, STRPU_05632
OG0000074	ASTMX07079, ASTMX08304	STRPU_26349, STRPU_17860, STRPU_17858, STRPU_22932, STRPU_22800, STRPU_22801, STRPU_13956, STRPU_22802, STRPU_01961
OG0000075	ASTMX13833, ASTMX15058	STRPU_25005
OG0000075	ASTMX17154	STRPU_25123
OG0000075	ASTMX04760	STRPU_25122
OG0000075	ASTMX10641, ASTMX00718	STRPU_10595
OG0000075	ASTMX16716, ASTMX04759	STRPU_25157
OG0000075	ASTMX12953, ASTMX02098	STRPU_01897, STRPU_22743
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	STRPU_23530
OG0000075	ASTMX07134	STRPU_23991
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	STRPU_09555
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	STRPU_10408
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	STRPU_07855
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	STRPU_23093, STRPU_23381, STRPU_23773
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	STRPU_04091
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	STRPU_02493, STRPU_15115
OG0000079	ASTMX02943	STRPU_26495, STRPU_19060
