Orthogroup	ASTMX	APOSC_ok
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667
OG0000036	ASTMX18312, ASTMX10284	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485
OG0000036	ASTMX01338, ASTMX03570	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	APOSC_01516
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	APOSC_24133
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	APOSC_28740
OG0000037	ASTMX03275	APOSC_09580, APOSC_09579
OG0000038	ASTMX05291	APOSC_10282, APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556, APOSC_03890, APOSC_04299
OG0000038	ASTMX12685, ASTMX17002	APOSC_25222, APOSC_10656
OG0000039	ASTMX03851	APOSC_12842, APOSC_27514
OG0000039	ASTMX16971	APOSC_00666
OG0000039	ASTMX14711	APOSC_28386, APOSC_17065
OG0000039	ASTMX10108, ASTMX07819	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234
OG0000041	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919	APOSC_19034
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	APOSC_26184
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746	APOSC_00445
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	APOSC_25765
OG0000044	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109	APOSC_03195
OG0000044	ASTMX06176	APOSC_22317
OG0000045	ASTMX14022	APOSC_22122, APOSC_09364, APOSC_16917
OG0000046	ASTMX22281	APOSC_27956
OG0000048	ASTMX13714	APOSC_06436
OG0000048	ASTMX15600	APOSC_05588
OG0000048	ASTMX04570	APOSC_11695
OG0000048	ASTMX00590	APOSC_03220
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	APOSC_16875
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	APOSC_03799
OG0000049	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786	APOSC_10378
OG0000050	ASTMX16561	APOSC_10217, APOSC_23849, APOSC_23848, APOSC_00680, APOSC_13214, APOSC_23760, APOSC_25497, APOSC_25946, APOSC_16367, APOSC_02924, APOSC_04909, APOSC_12511, APOSC_15058, APOSC_21186, APOSC_08507, APOSC_18416, APOSC_29121, APOSC_04063, APOSC_09709, APOSC_20758, APOSC_27570, APOSC_26396, APOSC_18309, APOSC_00165, APOSC_04902, APOSC_20128
OG0000051	ASTMX02511	APOSC_17477, APOSC_05458, APOSC_29038
OG0000054	ASTMX04679	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	APOSC_00208, APOSC_00207, APOSC_00209
OG0000057	ASTMX18685, ASTMX11838	APOSC_23236, APOSC_24402, APOSC_06368
OG0000058	ASTMX10002	APOSC_09888
OG0000058	ASTMX01061	APOSC_06035
OG0000058	ASTMX07660	APOSC_07162
OG0000059	ASTMX20918	APOSC_10184
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	APOSC_00480
OG0000060	ASTMX04292, ASTMX07603	APOSC_15645
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	APOSC_08992
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	APOSC_14996
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	APOSC_00292
OG0000061	ASTMX18729, ASTMX15987	APOSC_26114, APOSC_02472
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763
OG0000062	ASTMX01260	APOSC_18486, APOSC_01084
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	APOSC_25041
OG0000063	ASTMX11259, ASTMX01032	APOSC_17949
OG0000063	ASTMX13777, ASTMX12583	APOSC_22074, APOSC_13172, APOSC_22080
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	APOSC_13886, APOSC_04832
OG0000066	ASTMX01776	APOSC_20821
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846
OG0000068	ASTMX15456	APOSC_25733
OG0000068	ASTMX22587	APOSC_02568
OG0000069	ASTMX20491	APOSC_27459
OG0000070	ASTMX17316, ASTMX02948	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	APOSC_26208
OG0000072	ASTMX11250, ASTMX11618	APOSC_12820
OG0000073	ASTMX01961	APOSC_07375
OG0000073	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619	APOSC_27321
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	APOSC_10399, APOSC_08687, APOSC_25382
OG0000074	ASTMX12476	APOSC_18220
OG0000074	ASTMX07079, ASTMX08304	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347, APOSC_00195, APOSC_13504
OG0000075	ASTMX13833, ASTMX15058	APOSC_14489
OG0000075	ASTMX17154	APOSC_10923
OG0000075	ASTMX10641, ASTMX00718	APOSC_12033
OG0000075	ASTMX16716, ASTMX04759	APOSC_07538
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	APOSC_06620
OG0000075	ASTMX12953, ASTMX02098	APOSC_08706
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	APOSC_20859
OG0000075	ASTMX07134	APOSC_19754
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	APOSC_15032
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	APOSC_19689
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	APOSC_14696
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	APOSC_10552, APOSC_10551
OG0000079	ASTMX02943	APOSC_06744
OG0000080	ASTMX22762	APOSC_24368, APOSC_04715, APOSC_01450
OG0000080	ASTMX03885	APOSC_21235
OG0000081	ASTMX02774	APOSC_01179, APOSC_09602, APOSC_20049, APOSC_01834
OG0000082	ASTMX06917	APOSC_14161
OG0000082	ASTMX17888	APOSC_20096
OG0000082	ASTMX17248	APOSC_13154
OG0000082	ASTMX10849, ASTMX11876, ASTMX19980	APOSC_11149
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	APOSC_20881
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810	APOSC_25447
OG0000084	ASTMX08038	APOSC_27325
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	APOSC_13201
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	APOSC_00722
OG0000085	ASTMX19538	APOSC_00825
OG0000085	ASTMX21189, ASTMX20129	APOSC_21002
OG0000085	ASTMX08704, ASTMX02521	APOSC_25216
OG0000086	ASTMX18109	APOSC_19919
OG0000087	ASTMX08347	APOSC_20551
OG0000087	ASTMX17718	APOSC_26769
OG0000087	ASTMX17717	APOSC_05507
OG0000087	ASTMX06381	APOSC_26553, APOSC_26554
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827
OG0000089	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	APOSC_18760
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	APOSC_26110
OG0000090	ASTMX12258, ASTMX10648	APOSC_03937
OG0000094	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	APOSC_02606, APOSC_02607
OG0000094	ASTMX19353	APOSC_14430
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671	APOSC_21896, APOSC_21895
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	APOSC_05085
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	APOSC_03162
OG0000096	ASTMX08845	APOSC_04023
OG0000096	ASTMX18278, ASTMX15892	APOSC_25015
OG0000096	ASTMX09859	APOSC_00869
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	APOSC_16859
OG0000096	ASTMX19590, ASTMX07352	APOSC_21738
OG0000096	ASTMX10423, ASTMX12959	APOSC_21519
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	APOSC_13176, APOSC_13174, APOSC_13175
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	APOSC_27629, APOSC_10815
OG0000099	ASTMX21430	APOSC_25391, APOSC_06951
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	APOSC_01352, APOSC_23267
OG0000100	ASTMX20880	APOSC_10597
OG0000101	ASTMX00206, ASTMX00424	APOSC_08305
OG0000101	ASTMX08413	APOSC_23688
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	APOSC_25079, APOSC_09250
OG0000102	ASTMX10991, ASTMX16111	APOSC_11388
