Orthogroup	CAPO3	NEMVE
OG0000220	CAPO306780, CAPO307695	NEMVE15160, NEMVE06570, NEMVE06590, NEMVE11667, NEMVE10818
OG0000221	CAPO300247	NEMVE10984, NEMVE08618, NEMVE01044, NEMVE13312, NEMVE05724
OG0000222	CAPO304211	NEMVE13376, NEMVE24575, NEMVE01198, NEMVE01838
OG0000223	CAPO308126	NEMVE02962, NEMVE02939, NEMVE11970, NEMVE03410, NEMVE20736, NEMVE06873, NEMVE20688, NEMVE05418, NEMVE21759, NEMVE10027, NEMVE13913, NEMVE12172, NEMVE21368, NEMVE09090
OG0000225	CAPO305347	NEMVE22802, NEMVE01960
OG0000226	CAPO306934	NEMVE25655
OG0000226	CAPO303463	NEMVE02942, NEMVE04143, NEMVE15524
OG0000234	CAPO301359	NEMVE11754, NEMVE21946, NEMVE11372
OG0000238	CAPO305428	NEMVE12144
OG0000239	CAPO302089	NEMVE15715, NEMVE10508, NEMVE14103, NEMVE08852
OG0000240	CAPO303372	NEMVE22712
OG0000242	CAPO304847	NEMVE05130
OG0000244	CAPO301556	NEMVE04591, NEMVE23766, NEMVE21797, NEMVE21081, NEMVE13759
OG0000246	CAPO303496	NEMVE12875, NEMVE09525, NEMVE24900, NEMVE06591
OG0000248	CAPO307635, CAPO302481, CAPO302487	NEMVE14891, NEMVE02087, NEMVE21798, NEMVE14482, NEMVE14458
OG0000250	CAPO301950	NEMVE10328
OG0000250	CAPO305827	NEMVE10051
OG0000255	CAPO301531	NEMVE09558
OG0000255	CAPO300499	NEMVE09130, NEMVE09131, NEMVE10975, NEMVE13921, NEMVE24435, NEMVE13695
OG0000256	CAPO307884	NEMVE06790
OG0000257	CAPO300414	NEMVE17110, NEMVE15567, NEMVE05280, NEMVE10815, NEMVE05150
OG0000258	CAPO301106	NEMVE03906
OG0000258	CAPO301746	NEMVE09736, NEMVE25195
OG0000260	CAPO303219	NEMVE10877
OG0000260	CAPO300399	NEMVE13152
OG0000265	CAPO306126	NEMVE16690
OG0000265	CAPO306540	NEMVE00125, NEMVE14956
OG0000271	CAPO304641	NEMVE05862, NEMVE11681, NEMVE05959, NEMVE04791, NEMVE09635
OG0000272	CAPO304601	NEMVE16771
OG0000273	CAPO300804	NEMVE15051
OG0000273	CAPO306869	NEMVE12092, NEMVE06102
OG0000277	CAPO303621	NEMVE07555
OG0000277	CAPO301295	NEMVE05309
OG0000278	CAPO300620	NEMVE19287
OG0000278	CAPO305822	NEMVE11833
OG0000278	CAPO302023	NEMVE13169
OG0000282	CAPO308183	NEMVE18155, NEMVE06711, NEMVE06725, NEMVE09000, NEMVE07044, NEMVE08997, NEMVE03120, NEMVE08986
OG0000284	CAPO302861	NEMVE23786, NEMVE20213
OG0000285	CAPO303377	NEMVE19602, NEMVE11907, NEMVE11739, NEMVE08849, NEMVE10565, NEMVE19215, NEMVE22794
OG0000288	CAPO305142	NEMVE01052
OG0000289	CAPO307835	NEMVE22048, NEMVE20877
OG0000295	CAPO302113, CAPO302799	NEMVE02959, NEMVE13612
OG0000299	CAPO306599	NEMVE13956, NEMVE01544, NEMVE14250
OG0000305	CAPO307183	NEMVE14852
OG0000306	CAPO308212	NEMVE19808, NEMVE13073, NEMVE17887, NEMVE12646
OG0000308	CAPO304037	NEMVE04922
OG0000308	CAPO303083	NEMVE08666
