Orthogroup	CAPO3	LYTVA_ok
OG0000416	CAPO305980	LYTVA_23067
OG0000420	CAPO307162	LYTVA_21253, LYTVA_08019, LYTVA_16847, LYTVA_24513, LYTVA_18312, LYTVA_26593, LYTVA_25540
OG0000422	CAPO301071	LYTVA_06865
OG0000424	CAPO302770, CAPO306814	LYTVA_23549, LYTVA_05964, LYTVA_25545, LYTVA_03567
OG0000426	CAPO302714	LYTVA_06898
OG0000426	CAPO306829	LYTVA_02723, LYTVA_28523, LYTVA_10466
OG0000427	CAPO303813	LYTVA_16595
OG0000429	CAPO300725	LYTVA_05078
OG0000431	CAPO304684	LYTVA_04640
OG0000433	CAPO304838, CAPO302573	LYTVA_06955
OG0000434	CAPO304471	LYTVA_01609, LYTVA_24504, LYTVA_12787, LYTVA_04901
OG0000435	CAPO308080	LYTVA_13773, LYTVA_29418, LYTVA_27506
OG0000436	CAPO305799	LYTVA_24029, LYTVA_21248
OG0000442	CAPO302753, CAPO302633	LYTVA_02198
OG0000444	CAPO305423	LYTVA_22417, LYTVA_07815
OG0000444	CAPO301239	LYTVA_19323
OG0000445	CAPO301584	LYTVA_04989, LYTVA_19669, LYTVA_09903, LYTVA_09664
OG0000447	CAPO300691	LYTVA_12231
OG0000450	CAPO307586, CAPO307446	LYTVA_17101
OG0000453	CAPO305025	LYTVA_08205, LYTVA_27618, LYTVA_26520, LYTVA_16783
OG0000461	CAPO303645, CAPO304085, CAPO303531	LYTVA_27812
OG0000467	CAPO302214	LYTVA_22913
OG0000468	CAPO302003, CAPO303185	LYTVA_29019, LYTVA_11992, LYTVA_25362, LYTVA_17846, LYTVA_25959, LYTVA_07913, LYTVA_09600
OG0000469	CAPO306584, CAPO302277	LYTVA_00030
OG0000469	CAPO302982	LYTVA_28593
OG0000470	CAPO307521	LYTVA_08829, LYTVA_28529
OG0000475	CAPO303779	LYTVA_01549, LYTVA_01550
OG0000476	CAPO306104	LYTVA_13391
OG0000479	CAPO303549	LYTVA_06137, LYTVA_28172
OG0000479	CAPO304267	LYTVA_05897
OG0000480	CAPO307201	LYTVA_20914, LYTVA_03386, LYTVA_28708, LYTVA_06044, LYTVA_27796, LYTVA_11906, LYTVA_02506, LYTVA_19363
OG0000481	CAPO304800	LYTVA_03656
OG0000484	CAPO304750	LYTVA_07250
OG0000485	CAPO303224, CAPO303026	LYTVA_18258
OG0000486	CAPO306048, CAPO306972	LYTVA_11725, LYTVA_25120, LYTVA_29743, LYTVA_02899, LYTVA_15926, LYTVA_17161, LYTVA_29368, LYTVA_28063, LYTVA_14259
OG0000491	CAPO305506	LYTVA_10685, LYTVA_06011
OG0000494	CAPO300277	LYTVA_25114, LYTVA_11583
OG0000506	CAPO304587	LYTVA_28601
OG0000508	CAPO303408, CAPO307945	LYTVA_12099
OG0000508	CAPO302590	LYTVA_28377
OG0000510	CAPO303128, CAPO305095	LYTVA_19046, LYTVA_02807, LYTVA_16080
OG0000511	CAPO301322	LYTVA_09309, LYTVA_12973, LYTVA_12008
OG0000514	CAPO307292	LYTVA_15398
OG0000519	CAPO300709	LYTVA_06076, LYTVA_05363, LYTVA_05364, LYTVA_13323
OG0000520	CAPO304720	LYTVA_18628
OG0000522	CAPO306204	LYTVA_15018, LYTVA_09443, LYTVA_24796, LYTVA_29533, LYTVA_27966
OG0000528	CAPO300417	LYTVA_25533, LYTVA_22002, LYTVA_28244, LYTVA_25012
OG0000530	CAPO306919	LYTVA_01074
OG0000532	CAPO301913	LYTVA_10246, LYTVA_24664, LYTVA_08297
OG0000538	CAPO300039	LYTVA_19552
OG0000548	CAPO307253, CAPO307370	LYTVA_06015
OG0000549	CAPO305341	LYTVA_22278, LYTVA_02950, LYTVA_20710, LYTVA_27983
OG0000551	CAPO305700	LYTVA_09908, LYTVA_12970, LYTVA_25441, LYTVA_01943, LYTVA_20915, LYTVA_09909
OG0000552	CAPO302805	LYTVA_03254, LYTVA_15858
OG0000553	CAPO302261	LYTVA_23265, LYTVA_09391
OG0000554	CAPO300205	LYTVA_09845
OG0000561	CAPO307817, CAPO304686, CAPO304296	LYTVA_29146
OG0000563	CAPO305151	LYTVA_08446, LYTVA_08447, LYTVA_00186, LYTVA_03052, LYTVA_07652, LYTVA_11594, LYTVA_14329, LYTVA_18410, LYTVA_14185, LYTVA_14184, LYTVA_03057, LYTVA_03056, LYTVA_01124, LYTVA_21200, LYTVA_20551, LYTVA_03054, LYTVA_16646, LYTVA_16641, LYTVA_00187
OG0000566	CAPO306820	LYTVA_16321, LYTVA_16285
OG0000567	CAPO300710, CAPO302895	LYTVA_27754, LYTVA_12299, LYTVA_13542, LYTVA_02323
OG0000569	CAPO302672	LYTVA_23831, LYTVA_08037, LYTVA_27627, LYTVA_09118, LYTVA_20786, LYTVA_21040, LYTVA_01796
OG0000573	CAPO301573	LYTVA_17570
