Orthogroup	CAPO3	HUMAN
OG0000167	CAPO301364, CAPO303476	HUMAN19292, HUMAN19291, HUMAN00657, HUMAN00658, HUMAN18828, HUMAN27819, HUMAN27432, HUMAN00659, HUMAN00656, HUMAN25481, HUMAN00574, HUMAN18970, HUMAN13661, HUMAN25492
OG0000171	CAPO304813	HUMAN23028, HUMAN22194, HUMAN26251, HUMAN03748, HUMAN18622, HUMAN03747, HUMAN26252, HUMAN12335, HUMAN06783, HUMAN06782, HUMAN03531, HUMAN22193, HUMAN23027
OG0000174	CAPO304629	HUMAN28400, HUMAN02927, HUMAN27541, HUMAN27540, HUMAN22731, HUMAN13871, HUMAN18009
OG0000175	CAPO303513	HUMAN27828, HUMAN27827
OG0000175	CAPO303920	HUMAN00274
OG0000179	CAPO300694	HUMAN03338
OG0000179	CAPO303342	HUMAN23712, HUMAN09621
OG0000181	CAPO301108	HUMAN06327, HUMAN02594
OG0000181	CAPO302034	HUMAN26916, HUMAN21065
OG0000181	CAPO307692	HUMAN07664, HUMAN21747
OG0000181	CAPO300374	HUMAN08369
OG0000183	CAPO305638	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522
OG0000183	CAPO305829	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532, HUMAN05533
OG0000184	CAPO307711	HUMAN02121
OG0000184	CAPO304928	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543
OG0000192	CAPO301980	HUMAN10321
OG0000193	CAPO302628	HUMAN05477, HUMAN05476, HUMAN05474, HUMAN26464, HUMAN26463, HUMAN07238, HUMAN07239, HUMAN23343, HUMAN15327, HUMAN15326, HUMAN05473, HUMAN05475, HUMAN19343, HUMAN19575, HUMAN19345, HUMAN19577, HUMAN19344, HUMAN19576
OG0000194	CAPO305195	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276
OG0000195	CAPO305454	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624, HUMAN21625
OG0000201	CAPO307729	HUMAN25906, HUMAN20134
OG0000201	CAPO300462	HUMAN12208
OG0000203	CAPO302139	HUMAN23097, HUMAN27942, HUMAN25548, HUMAN00779, HUMAN21966, HUMAN00014, HUMAN00153, HUMAN00154, HUMAN11982, HUMAN00109
OG0000204	CAPO303090	HUMAN18516, HUMAN05840, HUMAN05075, HUMAN18517, HUMAN04275, HUMAN06256, HUMAN04282, HUMAN06995, HUMAN18515, HUMAN06257, HUMAN03860
OG0000207	CAPO304105, CAPO304106, CAPO304714	HUMAN13832, HUMAN19141, HUMAN28598, HUMAN00876, HUMAN21341, HUMAN02010, HUMAN21342
OG0000211	CAPO306209	HUMAN05541, HUMAN18718, HUMAN23611, HUMAN10119, HUMAN10120, HUMAN28797, HUMAN14218, HUMAN10060
OG0000218	CAPO300559	HUMAN21084, HUMAN05261
OG0000220	CAPO306780, CAPO307695	HUMAN03287, HUMAN28206, HUMAN22834, HUMAN17090, HUMAN03354, HUMAN03353, HUMAN22580
OG0000221	CAPO300247	HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805, HUMAN21691, HUMAN00105, HUMAN00104, HUMAN18037, HUMAN20574
OG0000221	CAPO308272, CAPO301991, CAPO300059	HUMAN06093, HUMAN06091, HUMAN06092
OG0000222	CAPO304211	HUMAN18380, HUMAN00432, HUMAN18379, HUMAN18378, HUMAN18377
OG0000223	CAPO308126	HUMAN28208, HUMAN16716, HUMAN17129, HUMAN03438, HUMAN03439, HUMAN17365
OG0000225	CAPO305347	HUMAN26821, HUMAN26818, HUMAN02411, HUMAN20859, HUMAN20858, HUMAN26781, HUMAN06681, HUMAN06682, HUMAN28017, HUMAN28016, HUMAN22075, HUMAN22076, HUMAN24061
OG0000226	CAPO306934	HUMAN16817
OG0000234	CAPO301359	HUMAN14313, HUMAN13886, HUMAN13884, HUMAN09743, HUMAN01653, HUMAN02863, HUMAN02862, HUMAN04453
OG0000238	CAPO305428	HUMAN10740
OG0000239	CAPO302089	HUMAN12749, HUMAN02988, HUMAN18073, HUMAN08545, HUMAN26079, HUMAN12754, HUMAN26078
OG0000240	CAPO303214	HUMAN19892, HUMAN19897
OG0000242	CAPO304847	HUMAN17637, HUMAN26476
OG0000244	CAPO301556	HUMAN24979, HUMAN06221, HUMAN20455, HUMAN08182, HUMAN11623, HUMAN21504, HUMAN11095, HUMAN11094, HUMAN18917, HUMAN27992
OG0000246	CAPO303496	HUMAN15952
OG0000248	CAPO307635, CAPO302481, CAPO302487	HUMAN28926, HUMAN28842, HUMAN01609, HUMAN01611, HUMAN01612
OG0000250	CAPO305827	HUMAN13349, HUMAN13351
OG0000255	CAPO301531	HUMAN30604, HUMAN30605
OG0000255	CAPO300499	HUMAN04286
OG0000256	CAPO307884	HUMAN29239, HUMAN14982
OG0000256	CAPO306483	HUMAN23740, HUMAN09481, HUMAN01743
OG0000257	CAPO300414	HUMAN28535, HUMAN09663, HUMAN09451, HUMAN08809, HUMAN18743
OG0000258	CAPO301106	HUMAN13201, HUMAN08490
OG0000258	CAPO301746	HUMAN21035, HUMAN02853, HUMAN08489, HUMAN16922
OG0000260	CAPO300399	HUMAN26833, HUMAN20959
OG0000265	CAPO306126	HUMAN14652, HUMAN29223, HUMAN29225, HUMAN02131
OG0000265	CAPO306540	HUMAN06211
OG0000271	CAPO304641	HUMAN13357, HUMAN21416, HUMAN12854, HUMAN17780, HUMAN26040, HUMAN19633, HUMAN06478, HUMAN03009
OG0000273	CAPO305109	HUMAN15012
OG0000273	CAPO307666	HUMAN07421
OG0000273	CAPO300804	HUMAN07418, HUMAN07417, HUMAN07420, HUMAN07419
OG0000273	CAPO306869	HUMAN16753, HUMAN16752
OG0000277	CAPO303621	HUMAN10958, HUMAN04583, HUMAN07256
OG0000277	CAPO301295	HUMAN03378, HUMAN22680, HUMAN22682, HUMAN24311
OG0000277	CAPO307814, CAPO307752	HUMAN07255
OG0000278	CAPO300620	HUMAN12098
OG0000278	CAPO305822	HUMAN15042, HUMAN15043, HUMAN15041
OG0000278	CAPO302023	HUMAN16991
OG0000278	CAPO303638	HUMAN08210, HUMAN08208, HUMAN08211
OG0000282	CAPO308183	HUMAN22065, HUMAN02951, HUMAN12498, HUMAN17183, HUMAN03610, HUMAN22064, HUMAN03422, HUMAN12499
OG0000284	CAPO305695	HUMAN01285, HUMAN28991
OG0000285	CAPO303377	HUMAN12968, HUMAN12969
OG0000288	CAPO305142	HUMAN19033, HUMAN27858, HUMAN10017, HUMAN25535, HUMAN27850
OG0000289	CAPO307835	HUMAN24512, HUMAN25207, HUMAN00853, HUMAN23391, HUMAN25308
OG0000295	CAPO302113, CAPO302799	HUMAN27073, HUMAN27078, HUMAN21755, HUMAN13492
OG0000299	CAPO306599	HUMAN17573, HUMAN13685, HUMAN13683, HUMAN13682, HUMAN13684, HUMAN18940, HUMAN00611, HUMAN00610, HUMAN25580, HUMAN18941
OG0000306	CAPO308212	HUMAN24069, HUMAN03303, HUMAN26264, HUMAN26265, HUMAN22808, HUMAN26268, HUMAN26267
OG0000308	CAPO304037	HUMAN26518, HUMAN17798, HUMAN17796, HUMAN17797, HUMAN15356, HUMAN11053, HUMAN09346, HUMAN09345
OG0000310	CAPO305978	HUMAN29760, HUMAN29761
OG0000312	CAPO302691	HUMAN22837, HUMAN07566
OG0000313	CAPO307072	HUMAN23081, HUMAN23082, HUMAN07848, HUMAN07849, HUMAN18542, HUMAN05865, HUMAN18541
OG0000313	CAPO301348	HUMAN05866, HUMAN26880, HUMAN26879
OG0000314	CAPO304303	HUMAN28861, HUMAN20239, HUMAN13015, HUMAN15940
OG0000315	CAPO307611	HUMAN26404
OG0000315	CAPO308167	HUMAN26829
OG0000319	CAPO303225	HUMAN13915, HUMAN27813, HUMAN13914
OG0000322	CAPO306406	HUMAN07374, HUMAN22557, HUMAN26486
OG0000326	CAPO308358, CAPO307947	HUMAN00138, HUMAN21700, HUMAN21697, HUMAN21698, HUMAN11971, HUMAN00136, HUMAN21699, HUMAN00137, HUMAN00135, HUMAN00139
OG0000326	CAPO303322	HUMAN00388, HUMAN00387, HUMAN00389
OG0000327	CAPO308120	HUMAN01408, HUMAN02360, HUMAN01407, HUMAN02359, HUMAN01411
OG0000334	CAPO300337	HUMAN23299, HUMAN26236
OG0000335	CAPO307753	HUMAN23060, HUMAN23061
OG0000338	CAPO304735	HUMAN13066, HUMAN19731, HUMAN19729, HUMAN13067, HUMAN19730, HUMAN10881, HUMAN18523, HUMAN18521, HUMAN26174
OG0000339	CAPO305264	HUMAN19136, HUMAN19137
OG0000343	CAPO306429	HUMAN25328, HUMAN25327, HUMAN05299
OG0000345	CAPO300769	HUMAN23757, HUMAN23095, HUMAN03649
OG0000352	CAPO300356	HUMAN28462, HUMAN14440, HUMAN14836, HUMAN07060, HUMAN25510, HUMAN07061, HUMAN17429
OG0000357	CAPO301487	HUMAN27044, HUMAN28888, HUMAN29931, HUMAN29932
OG0000359	CAPO305417	HUMAN11476, HUMAN11475, HUMAN10684
OG0000359	CAPO301540	HUMAN01488, HUMAN01487, HUMAN10921, HUMAN10920
OG0000359	CAPO306866	HUMAN30482
OG0000360	CAPO300757	HUMAN07695, HUMAN07694, HUMAN23042, HUMAN21019
OG0000364	CAPO301330, CAPO300908	HUMAN25612
OG0000367	CAPO301272	HUMAN02861, HUMAN21458, HUMAN29832, HUMAN29831, HUMAN19257, HUMAN13779, HUMAN27433
OG0000371	CAPO307503	HUMAN29626, HUMAN13145, HUMAN13146, HUMAN13143, HUMAN13142
OG0000372	CAPO307553	HUMAN22749, HUMAN00421, HUMAN23778, HUMAN18835, HUMAN16705
OG0000373	CAPO301744	HUMAN07152, HUMAN07150, HUMAN04999, HUMAN16793
OG0000385	CAPO300182, CAPO305781, CAPO305517	HUMAN17828, HUMAN26509, HUMAN26510, HUMAN26041
OG0000392	CAPO300351	HUMAN23483, HUMAN23482, HUMAN14994, HUMAN01116, HUMAN14993
OG0000393	CAPO307627	HUMAN07234, HUMAN27562, HUMAN13374, HUMAN27563
OG0000397	CAPO304372	HUMAN22189, HUMAN03732, HUMAN27717, HUMAN17188
OG0000399	CAPO302781	HUMAN08526, HUMAN09598, HUMAN16706, HUMAN01751, HUMAN09596, HUMAN14913
OG0000402	CAPO300999	HUMAN26844, HUMAN27407, HUMAN03424, HUMAN19232, HUMAN08155
