transcript_id	gene_id
rna-XM_035802163.1	LOC118403309
rna-XM_035802027.1	LOC118403309
rna-XM_035802236.1	LOC118403309
rna-XM_035802098.1	LOC118403309
rna-XM_035802607.1	LOC118403773
rna-XM_035825725.1	LOC118419360
rna-XM_035825752.1	LOC118419372
rna-XM_035825737.1	LOC118419372
rna-XM_035825744.1	LOC118419372
rna-XM_035829013.1	LOC118421632
rna-XM_035828998.1	LOC118421627
rna-XM_035838930.1	LOC118428741
rna-XM_035833671.1	LOC118424861
rna-XM_035834588.1	LOC118425622
rna-XM_035834596.1	LOC118425622
rna-XM_035816775.1	LOC118413407
rna-XM_035809794.1	LOC118408897
rna-XM_035835397.1	LOC118426134
rna-XM_035835405.1	LOC118426134
rna-XM_035835412.1	LOC118426134
rna-XM_035827981.1	LOC118420902
rna-XM_035827973.1	LOC118420902
rna-XM_035829861.1	LOC118422338
rna-XM_035826582.1	LOC118419906
rna-XM_035826570.1	LOC118419906
rna-XM_035826575.1	LOC118419906
rna-XM_035826609.1	LOC118419924
rna-XM_035826594.1	LOC118419924
rna-XM_035826602.1	LOC118419924
rna-XM_035826760.1	LOC118420051
rna-XM_035826703.1	LOC118419998
rna-XM_035826710.1	LOC118419998
rna-XM_035826718.1	LOC118419998
rna-XM_035826625.1	LOC118419941
rna-XM_035826639.1	LOC118419944
rna-XM_035826647.1	LOC118419944
rna-XM_035826750.1	LOC118420043
rna-XM_035826688.1	LOC118419980
rna-XM_035826692.1	LOC118419980
rna-XM_035826741.1	LOC118420032
rna-XM_035826730.1	LOC118420021
rna-XM_035823146.1	LOC118417544
rna-XM_035823135.1	LOC118417544
rna-XM_035823154.1	LOC118417544
rna-XM_035823175.1	LOC118417579
rna-XM_035823183.1	LOC118417579
rna-XM_035823206.1	LOC118417579
rna-XM_035823200.1	LOC118417579
rna-XM_035823191.1	LOC118417579
rna-XM_035823165.1	LOC118417569
rna-XM_035823220.1	LOC118417611
rna-XM_035813624.1	LOC118411372
rna-XM_035813637.1	LOC118411379
rna-XM_035813645.1	LOC118411379
rna-XM_035833693.1	LOC118424883
rna-XM_035833704.1	LOC118424894
rna-XM_035833740.1	LOC118424931
rna-XM_035825685.1	LOC118419320
rna-XM_035833925.1	LOC118425103
rna-XM_035818882.1	LOC118414679
rna-XM_035818888.1	LOC118414679
rna-XM_035818892.1	LOC118414679
rna-XM_035818900.1	LOC118414704
rna-XM_035834010.1	LOC118425175
rna-XM_035818871.1	LOC118414670
rna-XM_035839768.1	LOC118429256
rna-XM_035834020.1	LOC118425185
rna-XM_035811951.1	LOC118410328
rna-XM_035811942.1	LOC118410328
rna-XM_035811986.1	LOC118410339
rna-XM_035811997.1	LOC118410339
rna-XM_035811975.1	LOC118410339
rna-XM_035811964.1	LOC118410339
rna-XM_035812010.1	LOC118410344
rna-XM_035812031.1	LOC118410344
rna-XM_035812019.1	LOC118410344
rna-XM_035812043.1	LOC118410357
rna-XM_035821619.1	LOC118416451
rna-XM_035821572.1	LOC118416451
rna-XM_035821557.1	LOC118416451
rna-XM_035821595.1	LOC118416451
rna-XM_035821580.1	LOC118416451
rna-XM_035821587.1	LOC118416451
rna-XM_035821604.1	LOC118416451
rna-XM_035821565.1	LOC118416451
rna-XM_035821612.1	LOC118416451
rna-XM_035821626.1	LOC118416451
rna-XM_035821540.1	LOC118416437
rna-XM_035821545.1	LOC118416437
rna-XM_035821636.1	LOC118416511
rna-XM_035821658.1	LOC118416521
rna-XM_035821650.1	LOC118416521
rna-XM_035821668.1	LOC118416535
rna-XM_035833852.1	LOC118425034
rna-XM_035838892.1	LOC118428725
rna-XM_035838673.1	LOC118428438
rna-XM_035838695.1	LOC118428438
rna-XM_035838533.1	LOC118428438
rna-XM_035838523.1	LOC118428438
rna-XM_035838680.1	LOC118428438
rna-XM_035838819.1	LOC118428438
rna-XM_035838626.1	LOC118428438
rna-XM_035838828.1	LOC118428438
rna-XM_035838763.1	LOC118428438
rna-XM_035838586.1	LOC118428438
rna-XM_035838776.1	LOC118428438
rna-XM_035838603.1	LOC118428438
rna-XM_035838769.1	LOC118428438
rna-XM_035838718.1	LOC118428438
rna-XM_035838579.1	LOC118428438
rna-XM_035838641.1	LOC118428438
rna-XM_035838711.1	LOC118428438
rna-XM_035838610.1	LOC118428438
rna-XM_035838595.1	LOC118428438
rna-XM_035838558.1	LOC118428438
rna-XM_035838859.1	LOC118428438
rna-XM_035838836.1	LOC118428438
rna-XM_035838565.1	LOC118428438
rna-XM_035838633.1	LOC118428438
rna-XM_035838871.1	LOC118428438
rna-XM_035838740.1	LOC118428438
rna-XM_035838732.1	LOC118428438
rna-XM_035838549.1	LOC118428438
rna-XM_035838573.1	LOC118428438
rna-XM_035838541.1	LOC118428438
rna-XM_035838747.1	LOC118428438
rna-XM_035838688.1	LOC118428438
rna-XM_035838842.1	LOC118428438
rna-XM_035838618.1	LOC118428438
rna-XM_035838800.1	LOC118428438
rna-XM_035838724.1	LOC118428438
