Orthogroup	ORYLA	XENTR
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	ORYLA10585, ORYLA11804	XENTR09512
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092	XENTR10234
OG0000063	ORYLA07328, ORYLA00312	XENTR04709
OG0000063	ORYLA12933	XENTR00319
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	XENTR11311
OG0000063	ORYLA14082	XENTR08048
OG0000063	ORYLA04940, ORYLA08134	XENTR02007
OG0000065	ORYLA02755	XENTR16407
OG0000065	ORYLA03358	XENTR13484
OG0000065	ORYLA10271	XENTR05900
OG0000066	ORYLA06398	XENTR18882
OG0000067	ORYLA02381	XENTR14086
OG0000067	ORYLA01183, ORYLA06203	XENTR13783
OG0000067	ORYLA19414	XENTR04874
OG0000068	ORYLA11081	XENTR00752
OG0000068	ORYLA20205	XENTR17205
OG0000068	ORYLA14465, ORYLA15429	XENTR10995
OG0000068	ORYLA14046	XENTR11373
OG0000068	ORYLA20259	XENTR06812
OG0000068	ORYLA11242, ORYLA11243, ORYLA14701	XENTR01321
OG0000068	ORYLA15913	XENTR07981
OG0000068	ORYLA10852	XENTR06611
OG0000069	ORYLA03855	XENTR18834
OG0000069	ORYLA08015	XENTR16269
OG0000070	ORYLA11329	XENTR15503
OG0000070	ORYLA09412	XENTR11143
OG0000070	ORYLA16519	XENTR15175
OG0000070	ORYLA20376	XENTR15542
OG0000070	ORYLA07085	XENTR00314, XENTR18775, XENTR18776
OG0000070	ORYLA17312	XENTR05723, XENTR09834
OG0000071	ORYLA09791, ORYLA09793, ORYLA09792	XENTR09995, XENTR01851
OG0000071	ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716	XENTR10875
OG0000072	ORYLA00516	XENTR15041
