Orthogroup	ORYLA	SACKO_ok
OG0000020	ORYLA01097, ORYLA00349	SACKO_15854
OG0000020	ORYLA15647	SACKO_20295
OG0000020	ORYLA00902	SACKO_29670
OG0000020	ORYLA02546	SACKO_24638
OG0000020	ORYLA06519	SACKO_04828
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	SACKO_24549
OG0000021	ORYLA12641, ORYLA05479	SACKO_32115
OG0000021	ORYLA03698, ORYLA17601	SACKO_15594
OG0000021	ORYLA04373	SACKO_29742
OG0000021	ORYLA12092, ORYLA14389	SACKO_25838
OG0000021	ORYLA06753	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640
OG0000023	ORYLA08126	SACKO_10529
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	SACKO_06926
OG0000026	ORYLA06726	SACKO_04600
OG0000026	ORYLA09539	SACKO_23233
OG0000027	ORYLA07922, ORYLA15904, ORYLA15903	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136
OG0000027	ORYLA04739	SACKO_02698
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684	SACKO_00730, SACKO_00734
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	SACKO_00054, SACKO_29910
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	SACKO_04574
OG0000029	ORYLA15906	SACKO_15001
OG0000029	ORYLA08651, ORYLA09837	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076
OG0000030	ORYLA18077	SACKO_06190, SACKO_06196
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	ORYLA07170	SACKO_23559
OG0000030	ORYLA08220	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032
OG0000031	ORYLA09861, ORYLA15740	SACKO_18621
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	SACKO_18614
OG0000031	ORYLA06561	SACKO_16512
OG0000031	ORYLA10394, ORYLA11971	SACKO_21501
OG0000031	ORYLA04591, ORYLA04917	SACKO_14417
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	SACKO_32680
OG0000031	ORYLA09501, ORYLA00346	SACKO_14578
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	SACKO_03088
OG0000031	ORYLA06240	SACKO_31006
OG0000032	ORYLA09076, ORYLA06417	SACKO_26058
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	ORYLA15502	SACKO_02664
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	SACKO_15619
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	SACKO_19192
OG0000034	ORYLA07312	SACKO_16505
OG0000034	ORYLA12339, ORYLA14860	SACKO_05860
OG0000034	ORYLA19697	SACKO_20630, SACKO_18516, SACKO_29852
OG0000034	ORYLA14655	SACKO_20915
OG0000035	ORYLA16101	SACKO_02558
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	SACKO_19408
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	SACKO_12639
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	SACKO_13246
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	SACKO_16912, SACKO_19307, SACKO_22660
OG0000035	ORYLA17117, ORYLA14783	SACKO_08422
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	SACKO_28321
OG0000036	ORYLA20440, ORYLA11184	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	ORYLA12571	SACKO_28315
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	SACKO_22630
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	SACKO_05171
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	SACKO_15149
OG0000037	ORYLA04725	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956
OG0000038	ORYLA16180, ORYLA16179	SACKO_01199
OG0000038	ORYLA08393, ORYLA09754	SACKO_05258, SACKO_05271
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587	SACKO_24480
OG0000039	ORYLA07496	SACKO_16726, SACKO_16701
OG0000040	ORYLA18356	SACKO_01629, SACKO_21533
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	SACKO_08282
OG0000041	ORYLA13695, ORYLA09068	SACKO_06515
OG0000043	ORYLA03388	SACKO_09694
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	SACKO_25267
OG0000044	ORYLA05174	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979
OG0000045	ORYLA09208, ORYLA09207	SACKO_11123
OG0000045	ORYLA02935	SACKO_32893, SACKO_32938, SACKO_32925
OG0000045	ORYLA09209	SACKO_32920
OG0000046	ORYLA00520	SACKO_04617, SACKO_18448
OG0000046	ORYLA18815, ORYLA05911	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208
OG0000048	ORYLA17217	SACKO_04413
OG0000048	ORYLA14101	SACKO_24161
OG0000048	ORYLA09010, ORYLA09283, ORYLA10119	SACKO_15652, SACKO_15237, SACKO_15246
OG0000048	ORYLA14965	SACKO_12018
OG0000048	ORYLA08002	SACKO_03133
OG0000048	ORYLA11420	SACKO_17673
OG0000048	ORYLA15054	SACKO_29639
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	SACKO_08936
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	SACKO_25469
OG0000049	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871	SACKO_25472
OG0000051	ORYLA05117	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726
OG0000053	ORYLA12857	SACKO_03479
OG0000054	ORYLA00519	SACKO_17476
OG0000054	ORYLA05953	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672
OG0000059	ORYLA09176	SACKO_01899
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	SACKO_18357
OG0000060	ORYLA01946, ORYLA04743	SACKO_26044
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	SACKO_08309
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	SACKO_02041
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	SACKO_02073
OG0000061	ORYLA07060, ORYLA08273	SACKO_02064
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	SACKO_15950, SACKO_15963, SACKO_09033
OG0000062	ORYLA10585, ORYLA11804	SACKO_15645
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	SACKO_12392
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	SACKO_30337
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	SACKO_15119
OG0000066	ORYLA06398	SACKO_23403
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910
OG0000068	ORYLA16122	SACKO_06043
OG0000068	ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852	SACKO_06365
OG0000070	ORYLA11329, ORYLA09412	SACKO_18930, SACKO_18932
OG0000070	ORYLA07085, ORYLA17312	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	SACKO_25103, SACKO_25111
OG0000072	ORYLA20464	SACKO_14515
OG0000072	ORYLA05266	SACKO_31517
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431	SACKO_04859
OG0000074	ORYLA15428	SACKO_20268
OG0000075	ORYLA08229, ORYLA07050	SACKO_07161
OG0000075	ORYLA10050	SACKO_31868
OG0000075	ORYLA15750	SACKO_31864
OG0000075	ORYLA05870, ORYLA14226	SACKO_16948
OG0000075	ORYLA04438	SACKO_18318
OG0000075	ORYLA10049, ORYLA15751	SACKO_31867
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	SACKO_23452
OG0000075	ORYLA11054, ORYLA15824	SACKO_23651
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	SACKO_09677
OG0000075	ORYLA19688	SACKO_16926
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	SACKO_10609, SACKO_13734
