Orthogroup	AMPFI_ok	BRAFL
OG0000032	AMPFI_06764	bflo_01811, bflo_01636
OG0000032	AMPFI_03594	bflo_23561, bflo_23038, bflo_01635
OG0000032	AMPFI_03370	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388
OG0000032	AMPFI_22327	bflo_01430
OG0000033	AMPFI_17526, AMPFI_16483, AMPFI_06102, AMPFI_06688	bflo_01352, bflo_03633
OG0000033	AMPFI_22418	bflo_15322
OG0000033	AMPFI_19595, AMPFI_18759	bflo_22799
OG0000033	AMPFI_23966, AMPFI_19067, AMPFI_17279	bflo_07886, bflo_24852, bflo_17791
OG0000033	AMPFI_01844, AMPFI_20234	bflo_11964
OG0000034	AMPFI_25310, AMPFI_04753	bflo_20326
OG0000034	AMPFI_00398	bflo_03308, bflo_13145
OG0000035	AMPFI_17275	bflo_02157
OG0000035	AMPFI_24612, AMPFI_24508, AMPFI_00269, AMPFI_05651, AMPFI_21566	bflo_10387, bflo_26954
OG0000035	AMPFI_13261	bflo_10385
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	bflo_09462
OG0000035	AMPFI_12878	bflo_09767, bflo_09277
OG0000035	AMPFI_11303	bflo_10386
OG0000036	AMPFI_11948	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188
OG0000036	AMPFI_14775, AMPFI_19912	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	bflo_12806, bflo_12805
OG0000037	AMPFI_11581	bflo_18550, bflo_02879
OG0000037	AMPFI_25668	bflo_10999
OG0000038	AMPFI_22293	bflo_04809
OG0000038	AMPFI_00855	bflo_16788
OG0000038	AMPFI_11821, AMPFI_12065	bflo_10654
OG0000039	AMPFI_15658	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169, bflo_26070
OG0000039	AMPFI_01199	bflo_06186
OG0000039	AMPFI_17373	bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412
OG0000039	AMPFI_20335, AMPFI_20685, AMPFI_03724	bflo_15832
OG0000040	AMPFI_24657	bflo_18133
OG0000040	AMPFI_02741	bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000042	AMPFI_23586	bflo_25205
OG0000042	AMPFI_03947, AMPFI_21934	bflo_01922, bflo_01196, bflo_01197
OG0000043	AMPFI_07177	bflo_21607, bflo_03333, bflo_03334, bflo_21606, bflo_22480, bflo_21604, bflo_03332, bflo_20396, bflo_20397, bflo_26387, bflo_26388, bflo_26390, bflo_26385, bflo_26389, bflo_26386, bflo_01851, bflo_26391, bflo_26228, bflo_17461, bflo_25593, bflo_25594, bflo_25592, bflo_23222, bflo_23223, bflo_23219, bflo_23220, bflo_23221, bflo_23218
OG0000043	AMPFI_13817	bflo_23211, bflo_07587
OG0000043	AMPFI_04816	bflo_19214
OG0000044	AMPFI_13059	bflo_09762
OG0000044	AMPFI_02748	bflo_14922
OG0000044	AMPFI_03703	bflo_21420, bflo_01236
OG0000044	AMPFI_04838	bflo_12257
OG0000044	AMPFI_18408	bflo_21687
OG0000044	AMPFI_05987, AMPFI_21776	bflo_07502, bflo_13320, bflo_10330
OG0000044	AMPFI_15551	bflo_00108, bflo_00107, bflo_01958, bflo_01243, bflo_26025, bflo_26127, bflo_26635
OG0000045	AMPFI_20949	bflo_00610
OG0000045	AMPFI_24368	bflo_00608
OG0000045	AMPFI_25297	bflo_01071
OG0000046	AMPFI_02275, AMPFI_17068	bflo_09128, bflo_05621
OG0000046	AMPFI_00292	bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030
OG0000046	AMPFI_06092, AMPFI_02299	bflo_12665
OG0000046	AMPFI_08774	bflo_04660, bflo_14191, bflo_00216, bflo_09271, bflo_01289
OG0000047	AMPFI_00264, AMPFI_17658, AMPFI_22335, AMPFI_00558, AMPFI_22776, AMPFI_16779, AMPFI_01017, AMPFI_21621, AMPFI_03846	bflo_26688, bflo_22263
OG0000047	AMPFI_21704, AMPFI_23685	bflo_16428
OG0000047	AMPFI_20140, AMPFI_20456, AMPFI_00531, AMPFI_17064	bflo_15647
OG0000047	AMPFI_20742, AMPFI_00834	bflo_13834
OG0000048	AMPFI_01185	bflo_07462
OG0000048	AMPFI_21987, AMPFI_06139	bflo_27224
OG0000048	AMPFI_22758	bflo_17669
OG0000048	AMPFI_10591, AMPFI_13556	bflo_20353
OG0000048	AMPFI_16815	bflo_20337
OG0000048	AMPFI_08767	bflo_12849
OG0000049	AMPFI_09959, AMPFI_25468, AMPFI_22815	bflo_17113, bflo_17536
OG0000049	AMPFI_05869	bflo_20712
OG0000051	AMPFI_25569, AMPFI_12251, AMPFI_06956, AMPFI_18032	bflo_08711
OG0000051	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599	bflo_18195, bflo_17371
OG0000052	AMPFI_19325, AMPFI_18674, AMPFI_10009, AMPFI_13726, AMPFI_09858	bflo_27040
