Orthogroup	AMPFI_ok	NEMVE
OG0000024	AMPFI_03811, AMPFI_22635, AMPFI_19020, AMPFI_24666, AMPFI_12622, AMPFI_08274, AMPFI_13320, AMPFI_18394, AMPFI_01428, AMPFI_24702, AMPFI_24934, AMPFI_10763, AMPFI_23064, AMPFI_16191, AMPFI_11358, AMPFI_15816, AMPFI_08187, AMPFI_00910, AMPFI_05089, AMPFI_22388, AMPFI_12431, AMPFI_12438, AMPFI_03520, AMPFI_24082, AMPFI_14110, AMPFI_07368, AMPFI_00973, AMPFI_07770, AMPFI_22507, AMPFI_01046, AMPFI_13085, AMPFI_15762, AMPFI_01069, AMPFI_22054, AMPFI_08206	NEMVE19722
OG0000025	AMPFI_11412	NEMVE18817
OG0000025	AMPFI_12367, AMPFI_15078, AMPFI_16211, AMPFI_22145, AMPFI_18559, AMPFI_05802	NEMVE03788, NEMVE03827, NEMVE02880, NEMVE02751
OG0000025	AMPFI_26068	NEMVE00738
OG0000025	AMPFI_19256	NEMVE11507, NEMVE09420
OG0000025	AMPFI_09357, AMPFI_15300, AMPFI_10444, AMPFI_09920	NEMVE02929
OG0000025	AMPFI_02288	NEMVE11717
OG0000025	AMPFI_04900, AMPFI_07607, AMPFI_18572, AMPFI_12331, AMPFI_12110, AMPFI_04240, AMPFI_22001, AMPFI_12673	NEMVE03316
OG0000026	AMPFI_08394, AMPFI_03099, AMPFI_18185, AMPFI_25697, AMPFI_04674, AMPFI_24667, AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	AMPFI_09960, AMPFI_03858, AMPFI_13122	NEMVE06202
OG0000026	AMPFI_18636, AMPFI_08031	NEMVE11230, NEMVE18197, NEMVE11570
OG0000026	AMPFI_01077, AMPFI_16904	NEMVE24164, NEMVE07469
OG0000026	AMPFI_17661	NEMVE15646
OG0000027	AMPFI_15327, AMPFI_23434, AMPFI_19869, AMPFI_04301, AMPFI_14462, AMPFI_23172, AMPFI_03819	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	AMPFI_19162	NEMVE07358, NEMVE05350, NEMVE02019
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	NEMVE03602, NEMVE01722, NEMVE08343
OG0000029	AMPFI_05500	NEMVE10355, NEMVE09829, NEMVE10357
OG0000030	AMPFI_04928	NEMVE20373, NEMVE19035
OG0000031	AMPFI_01755, AMPFI_10718, AMPFI_14435	NEMVE00311, NEMVE00632
OG0000031	AMPFI_06256	NEMVE01854
OG0000031	AMPFI_14304	NEMVE01806
OG0000031	AMPFI_10484	NEMVE01412
OG0000031	AMPFI_01333	NEMVE02343
OG0000031	AMPFI_05075	NEMVE12067
OG0000031	AMPFI_10833	NEMVE21885
OG0000031	AMPFI_02985	NEMVE22486
OG0000032	AMPFI_06764	NEMVE08961, NEMVE08817
OG0000032	AMPFI_22327	NEMVE03085
OG0000033	AMPFI_14763, AMPFI_20487, AMPFI_01727, AMPFI_12232, AMPFI_12725, AMPFI_17526, AMPFI_16483, AMPFI_06102, AMPFI_06688, AMPFI_22418	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391
OG0000033	AMPFI_23484, AMPFI_05216, AMPFI_19595, AMPFI_18759, AMPFI_23966, AMPFI_19067, AMPFI_17279	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341
OG0000033	AMPFI_01844, AMPFI_20234, AMPFI_01742, AMPFI_17317, AMPFI_01780, AMPFI_01855, AMPFI_18243, AMPFI_02747, AMPFI_01913, AMPFI_02903	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301
OG0000034	AMPFI_04753	NEMVE07311, NEMVE07285
OG0000034	AMPFI_00398	NEMVE10927
OG0000035	AMPFI_17275	NEMVE23841
OG0000035	AMPFI_20705	NEMVE22676
OG0000035	AMPFI_13261	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	AMPFI_06932	NEMVE07419, NEMVE07417
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	AMPFI_10819, AMPFI_10818, AMPFI_01966, AMPFI_00972, AMPFI_11581, AMPFI_25668	NEMVE00865, NEMVE01113
OG0000038	AMPFI_11821	NEMVE02186
OG0000038	AMPFI_11482, AMPFI_17061	NEMVE17895
OG0000039	AMPFI_15658	NEMVE09831, NEMVE16411, NEMVE04657
