Orthogroup	AMPFI_ok	CAEEL
OG0000311	AMPFI_01209, AMPFI_01851, AMPFI_24975, AMPFI_08716, AMPFI_08688, AMPFI_05810, AMPFI_04550, AMPFI_20271, AMPFI_02249, AMPFI_05542, AMPFI_01316, AMPFI_07672, AMPFI_15109, AMPFI_15091, AMPFI_25577, AMPFI_17917, AMPFI_05358, AMPFI_09827, AMPFI_15280, AMPFI_25423, AMPFI_22849, AMPFI_15255, AMPFI_12057, AMPFI_15110, AMPFI_21069, AMPFI_16741, AMPFI_12234, AMPFI_20322, AMPFI_15839, AMPFI_02811, AMPFI_11003, AMPFI_12859, AMPFI_04863, AMPFI_24099, AMPFI_13586, AMPFI_18199, AMPFI_13587, AMPFI_18158, AMPFI_23827, AMPFI_15799, AMPFI_01648, AMPFI_08025, AMPFI_25710, AMPFI_05060, AMPFI_12815, AMPFI_18246, AMPFI_11796, AMPFI_13619, AMPFI_05054, AMPFI_08718, AMPFI_17315, AMPFI_09601, AMPFI_17958, AMPFI_07888, AMPFI_08717, AMPFI_17775, AMPFI_05950, AMPFI_22611, AMPFI_12715, AMPFI_11179, AMPFI_01660, AMPFI_10403, AMPFI_14392, AMPFI_21372, AMPFI_17201, AMPFI_10720, AMPFI_13005, AMPFI_17687, AMPFI_23259, AMPFI_10719, AMPFI_06896, AMPFI_15980, AMPFI_22632, AMPFI_10723, AMPFI_05051, AMPFI_15164, AMPFI_13841, AMPFI_10452, AMPFI_12808, AMPFI_02242, AMPFI_10368, AMPFI_05086, AMPFI_01887, AMPFI_23693, AMPFI_04162, AMPFI_14246, AMPFI_15037, AMPFI_05643, AMPFI_12123, AMPFI_09829, AMPFI_09451, AMPFI_04510, AMPFI_05457, AMPFI_22089, AMPFI_09578, AMPFI_08715, AMPFI_09058, AMPFI_11659, AMPFI_08026, AMPFI_25923, AMPFI_10722, AMPFI_14907, AMPFI_11266, AMPFI_07673, AMPFI_05359, AMPFI_02546, AMPFI_06892, AMPFI_01811, AMPFI_05540, AMPFI_01210, AMPFI_08513, AMPFI_09320, AMPFI_16014, AMPFI_06953, AMPFI_13252, AMPFI_12244, AMPFI_02197, AMPFI_06954, AMPFI_12118, AMPFI_25383	CAEEL19230
OG0000312	AMPFI_21427	CAEEL19323
OG0000312	AMPFI_20772	CAEEL16684
OG0000312	AMPFI_21121	CAEEL08464
OG0000313	AMPFI_11114, AMPFI_16761	CAEEL06343
OG0000314	AMPFI_01491	CAEEL12578
OG0000314	AMPFI_21098, AMPFI_21539	CAEEL14227, CAEEL02951
OG0000315	AMPFI_07728	CAEEL07409
OG0000315	AMPFI_07490	CAEEL07609
OG0000315	AMPFI_02270, AMPFI_09332	CAEEL07292
OG0000316	AMPFI_17678	CAEEL01799
OG0000317	AMPFI_13838	CAEEL18155
OG0000319	AMPFI_18016	CAEEL00889
OG0000319	AMPFI_24803	CAEEL10346
OG0000321	AMPFI_13886	CAEEL19255
OG0000322	AMPFI_16430, AMPFI_01114, AMPFI_11536, AMPFI_16438, AMPFI_14537, AMPFI_01378, AMPFI_07075, AMPFI_22995, AMPFI_10175, AMPFI_10174, AMPFI_04030, AMPFI_12395	CAEEL18855, CAEEL09291, CAEEL09109
OG0000323	AMPFI_13708, AMPFI_18244, AMPFI_16959, AMPFI_12290	CAEEL08030
OG0000325	AMPFI_00268, AMPFI_18454, AMPFI_22673	CAEEL01448, CAEEL10554
OG0000327	AMPFI_02810, AMPFI_10968	CAEEL18527
OG0000327	AMPFI_07053, AMPFI_01699	CAEEL06891
OG0000328	AMPFI_12095	CAEEL02700, CAEEL20663
OG0000329	AMPFI_20416, AMPFI_18953	CAEEL05342
OG0000338	AMPFI_12428	CAEEL02726
OG0000341	AMPFI_21712	CAEEL02829
OG0000343	AMPFI_14007	CAEEL00542
OG0000345	AMPFI_25637, AMPFI_25636	CAEEL13165
OG0000345	AMPFI_10260, AMPFI_07208, AMPFI_03618	CAEEL09288
OG0000346	AMPFI_04737	CAEEL10353
OG0000346	AMPFI_07378, AMPFI_07379, AMPFI_12775, AMPFI_17071	CAEEL04767
OG0000350	AMPFI_13974	CAEEL13904
OG0000351	AMPFI_23428	CAEEL07375
OG0000352	AMPFI_09522	CAEEL05587
OG0000356	AMPFI_06622	CAEEL10812
OG0000357	AMPFI_13175, AMPFI_23961	CAEEL07861
OG0000357	AMPFI_08530	CAEEL10151, CAEEL05953
OG0000358	AMPFI_12913, AMPFI_14920, AMPFI_02004	CAEEL13826
OG0000358	AMPFI_18035, AMPFI_00204, AMPFI_13026	CAEEL19072
OG0000359	AMPFI_13496	CAEEL02740, CAEEL18786, CAEEL18785
OG0000359	AMPFI_25444	CAEEL04647
OG0000363	AMPFI_19121	CAEEL04898, CAEEL01034, CAEEL00066
