Orthogroup	STRPU_ok	HUMAN
OG0000101	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	STRPU_21344	HUMAN08946, HUMAN02473
OG0000103	STRPU_08665	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	STRPU_08161	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	STRPU_03670, STRPU_03681	HUMAN05724, HUMAN19523
OG0000104	STRPU_22118	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	STRPU_03688, STRPU_03686	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	STRPU_02772	HUMAN19373
OG0000104	STRPU_23716	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799
OG0000106	STRPU_25282	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978
OG0000106	STRPU_25442	HUMAN27844
OG0000106	STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307	HUMAN01589, HUMAN09602
OG0000107	STRPU_24418	HUMAN24662
OG0000107	STRPU_10381, STRPU_06034, STRPU_24248, STRPU_05021, STRPU_06004, STRPU_05934, STRPU_24099, STRPU_25385, STRPU_10863, STRPU_13897, STRPU_01057, STRPU_02949, STRPU_05929, STRPU_03377, STRPU_05996, STRPU_04108, STRPU_05474, STRPU_10843, STRPU_09004	HUMAN24661
OG0000113	STRPU_10396, STRPU_18172	HUMAN00919
OG0000114	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000115	STRPU_25508, STRPU_12373, STRPU_23313	HUMAN11469, HUMAN11468
OG0000116	STRPU_21801, STRPU_21802	HUMAN18678
OG0000117	STRPU_18287	HUMAN01029
OG0000117	STRPU_16027	HUMAN04356, HUMAN04357
OG0000119	STRPU_13902	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000119	STRPU_13805, STRPU_13905	HUMAN17940, HUMAN20669
OG0000121	STRPU_17646, STRPU_02277	HUMAN23092, HUMAN03659
