Orthogroup	STRPU_ok	YEAST
OG0000175	STRPU_24379, STRPU_24411, STRPU_24412, STRPU_02319, STRPU_12738, STRPU_24563	YEAST00850, YEAST04327
OG0000179	STRPU_04627, STRPU_04649	YEAST01123, YEAST04430
OG0000179	STRPU_00166, STRPU_27037, STRPU_27036, STRPU_25919	YEAST02911, YEAST01281
OG0000179	STRPU_05514	YEAST04108, YEAST03346
OG0000181	STRPU_01089, STRPU_24210, STRPU_22671, STRPU_21403, STRPU_21400, STRPU_21401, STRPU_15658, STRPU_15675, STRPU_02398, STRPU_13672, STRPU_13671, STRPU_02399	YEAST00824, YEAST00771
OG0000186	STRPU_26874, STRPU_17963, STRPU_21692, STRPU_21757, STRPU_20742, STRPU_21070, STRPU_20741, STRPU_20748, STRPU_20749, STRPU_21691, STRPU_21756, STRPU_21755, STRPU_21690, STRPU_12952	YEAST00336
OG0000194	STRPU_00024, STRPU_00025, STRPU_06136, STRPU_06137, STRPU_05974, STRPU_06736, STRPU_06599, STRPU_06600, STRPU_06597, STRPU_06598, STRPU_05970, STRPU_05971, STRPU_05972, STRPU_05973, STRPU_06442	YEAST01410
OG0000195	STRPU_06815, STRPU_06128, STRPU_10942, STRPU_10980, STRPU_10944, STRPU_11087, STRPU_11086, STRPU_10939, STRPU_10941, STRPU_10940, STRPU_10458, STRPU_13259	YEAST03414
OG0000211	STRPU_02785, STRPU_18014, STRPU_21779, STRPU_27150, STRPU_26341	YEAST04964
OG0000221	STRPU_25006, STRPU_10448, STRPU_16065	YEAST05872
OG0000222	STRPU_10704, STRPU_10705, STRPU_10948, STRPU_26038, STRPU_00387, STRPU_10706	YEAST01460
OG0000225	STRPU_22829, STRPU_01990, STRPU_01991, STRPU_22830, STRPU_22831, STRPU_22388	YEAST06146
OG0000227	STRPU_13886, STRPU_26643, STRPU_25172, STRPU_25142	YEAST05815
OG0000228	STRPU_15282, STRPU_15283, STRPU_27417, STRPU_09112, STRPU_02078, STRPU_02081, STRPU_15309, STRPU_15298, STRPU_15296, STRPU_10933, STRPU_15295, STRPU_15308, STRPU_02079, STRPU_09111, STRPU_02080, STRPU_15294, STRPU_15307, STRPU_15237, STRPU_15183, STRPU_15186, STRPU_15184, STRPU_15238	YEAST04750
OG0000233	STRPU_19457, STRPU_02747, STRPU_19351	YEAST03726, YEAST03241, YEAST03242
OG0000238	STRPU_00959, STRPU_08862, STRPU_25261, STRPU_25260, STRPU_26157, STRPU_24519	YEAST06340, YEAST03834
OG0000240	STRPU_02509, STRPU_02512, STRPU_15130, STRPU_15129, STRPU_02510, STRPU_15131, STRPU_02513, STRPU_14915, STRPU_14932, STRPU_14933, STRPU_14931, STRPU_14929, STRPU_14926, STRPU_14927, STRPU_14925, STRPU_14934, STRPU_14924, STRPU_14939, STRPU_14935, STRPU_14972, STRPU_14936, STRPU_14940, STRPU_14973, STRPU_14937, STRPU_14930	YEAST03827
OG0000242	STRPU_12016, STRPU_20158, STRPU_20161, STRPU_12217, STRPU_09149, STRPU_22571	YEAST00734
OG0000246	STRPU_14570, STRPU_14461, STRPU_14460, STRPU_14442, STRPU_18045, STRPU_07221, STRPU_13463, STRPU_08832, STRPU_13464, STRPU_13465	YEAST01746, YEAST01747
OG0000250	STRPU_27110, STRPU_05823, STRPU_04285, STRPU_12654, STRPU_00094	YEAST04716
OG0000255	STRPU_21343, STRPU_06497, STRPU_04137, STRPU_13419, STRPU_12912, STRPU_26210, STRPU_18620, STRPU_12446, STRPU_12447, STRPU_12953, STRPU_12950	YEAST02822
OG0000256	STRPU_19461, STRPU_14842, STRPU_26901, STRPU_26900, STRPU_26902, STRPU_27111, STRPU_26544	YEAST00266
OG0000258	STRPU_08777, STRPU_08779, STRPU_08780, STRPU_22696, STRPU_21352	YEAST00118
OG0000260	STRPU_22982, STRPU_10375	YEAST04323
OG0000265	STRPU_01912, STRPU_22756	YEAST03885, YEAST03714
OG0000272	STRPU_14820, STRPU_17961, STRPU_24826	YEAST02076, YEAST01066
