Orthogroup	STRPU_ok	AENJA_ok
OG0000038	STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770	AENJA_05691
OG0000038	STRPU_17414, STRPU_17415	AENJA_26313
OG0000038	STRPU_18083, STRPU_01772, STRPU_18683, STRPU_01771	AENJA_05693
OG0000038	STRPU_17101, STRPU_17116	AENJA_05700
OG0000038	STRPU_17312	AENJA_05701
OG0000039	STRPU_05101, STRPU_05100, STRPU_05180	AENJA_17497
OG0000039	STRPU_21027	AENJA_26786
OG0000039	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246	AENJA_20163
OG0000039	STRPU_16658, STRPU_15546, STRPU_15547, STRPU_20012, STRPU_20010	AENJA_02471
OG0000040	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238	AENJA_11361
OG0000041	STRPU_12828	AENJA_08471
OG0000041	STRPU_13000	AENJA_24560
OG0000042	STRPU_19876, STRPU_08611, STRPU_19901	AENJA_12267, AENJA_02614, AENJA_01891
OG0000042	STRPU_20174, STRPU_18725, STRPU_18738, STRPU_18723, STRPU_20315, STRPU_20276, STRPU_19952, STRPU_13883, STRPU_13882, STRPU_18118, STRPU_13875, STRPU_07693, STRPU_13867, STRPU_02316, STRPU_13869	AENJA_24534, AENJA_24240, AENJA_05524, AENJA_01976, AENJA_07525, AENJA_11740
OG0000044	STRPU_09802	AENJA_12079
OG0000044	STRPU_04938	AENJA_26664
OG0000044	STRPU_10710	AENJA_23969
OG0000044	STRPU_00051	AENJA_24602
OG0000044	STRPU_21629	AENJA_06141
OG0000045	STRPU_16212, STRPU_16247, STRPU_16854, STRPU_16858	AENJA_04220, AENJA_24299
OG0000045	STRPU_16875, STRPU_16216	AENJA_24300
OG0000045	STRPU_16873, STRPU_16217, STRPU_16249, STRPU_16215	AENJA_13211
OG0000045	STRPU_27177, STRPU_27196, STRPU_27353, STRPU_27354, STRPU_26421, STRPU_26525, STRPU_26526, STRPU_26527, STRPU_26523, STRPU_26524, STRPU_00475, STRPU_00476, STRPU_19020, STRPU_00474	AENJA_18923, AENJA_18166, AENJA_08775
OG0000045	STRPU_00473	AENJA_24504
OG0000045	STRPU_26605	AENJA_09131
OG0000045	STRPU_16861, STRPU_16872	AENJA_11592
OG0000046	STRPU_24167, STRPU_08327, STRPU_08328	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	STRPU_13398, STRPU_13377, STRPU_13401, STRPU_13400, STRPU_13399	AENJA_13407, AENJA_01687, AENJA_01592, AENJA_15828
OG0000047	STRPU_00263, STRPU_17034	AENJA_20068
OG0000047	STRPU_07874, STRPU_00254	AENJA_02359, AENJA_22101
OG0000047	STRPU_08292, STRPU_03057, STRPU_19739, STRPU_08816	AENJA_17689
OG0000047	STRPU_09198, STRPU_10722	AENJA_04944
OG0000047	STRPU_24560	AENJA_14228, AENJA_15629
OG0000048	STRPU_15458	AENJA_11619
OG0000048	STRPU_09674	AENJA_23226
OG0000048	STRPU_06729, STRPU_06730, STRPU_06385	AENJA_21713
OG0000048	STRPU_20602	AENJA_09360
OG0000048	STRPU_20482	AENJA_16735
OG0000048	STRPU_26191	AENJA_25506
OG0000049	STRPU_17072	AENJA_20702
OG0000049	STRPU_23537	AENJA_25756
