Orthogroup	STRPU_ok	CAPO3
OG0000255	STRPU_04137, STRPU_13419, STRPU_12912, STRPU_26210, STRPU_18620, STRPU_12446, STRPU_12447, STRPU_12953, STRPU_12950	CAPO300499
OG0000256	STRPU_19461	CAPO307884
OG0000256	STRPU_14842, STRPU_26901, STRPU_26900, STRPU_26902, STRPU_27111, STRPU_26544	CAPO306483
OG0000257	STRPU_27378, STRPU_27217, STRPU_21726, STRPU_21661, STRPU_26405	CAPO300414
OG0000258	STRPU_08780	CAPO301106
OG0000258	STRPU_22696, STRPU_21352	CAPO301746
OG0000260	STRPU_22982	CAPO300399
OG0000265	STRPU_19907	CAPO306126
OG0000265	STRPU_01912, STRPU_22756	CAPO306540
OG0000271	STRPU_13269, STRPU_19512, STRPU_13270, STRPU_13735, STRPU_13553	CAPO304641
OG0000273	STRPU_18566	CAPO305109
OG0000273	STRPU_15406	CAPO300804
OG0000273	STRPU_24051, STRPU_02609, STRPU_24050, STRPU_02610	CAPO306869
OG0000277	STRPU_02244, STRPU_15555	CAPO303621
OG0000277	STRPU_04283	CAPO301295
OG0000278	STRPU_03004	CAPO305822
OG0000278	STRPU_20692	CAPO302023
OG0000278	STRPU_26265	CAPO303638
OG0000282	STRPU_01499, STRPU_13749, STRPU_09980, STRPU_09957, STRPU_09543, STRPU_09417	CAPO308183
OG0000284	STRPU_07330, STRPU_18787	CAPO305695
OG0000285	STRPU_05159, STRPU_05080, STRPU_05158, STRPU_04963, STRPU_05775, STRPU_05157, STRPU_05079	CAPO303377
OG0000288	STRPU_24377	CAPO305142
OG0000289	STRPU_18786, STRPU_18677, STRPU_12560, STRPU_12562	CAPO307835
OG0000295	STRPU_26615, STRPU_26613, STRPU_06225, STRPU_06205, STRPU_06691, STRPU_26618, STRPU_08406, STRPU_08402	CAPO302113, CAPO302799
OG0000299	STRPU_07501	CAPO306599
OG0000305	STRPU_21971	CAPO307183
OG0000306	STRPU_04181, STRPU_00072, STRPU_04180	CAPO308212
OG0000308	STRPU_13191, STRPU_13968, STRPU_21103, STRPU_21098, STRPU_14797	CAPO304037
OG0000308	STRPU_08810	CAPO303083
OG0000310	STRPU_25676, STRPU_25769, STRPU_25768, STRPU_25786, STRPU_25767, STRPU_25785, STRPU_08819, STRPU_08721, STRPU_01455, STRPU_19424, STRPU_19517	CAPO305978
OG0000312	STRPU_21396	CAPO304557
OG0000312	STRPU_05481	CAPO302691
OG0000313	STRPU_05794, STRPU_10597	CAPO307072
OG0000313	STRPU_24296, STRPU_23132	CAPO301348
OG0000314	STRPU_21722, STRPU_21657, STRPU_21176, STRPU_05385	CAPO304303
OG0000315	STRPU_14641	CAPO307611
OG0000315	STRPU_23166	CAPO308167
OG0000316	STRPU_10737, STRPU_01026, STRPU_23411, STRPU_23297	CAPO307924, CAPO300321
OG0000317	STRPU_19997	CAPO306620
OG0000319	STRPU_07205, STRPU_16775, STRPU_01745	CAPO303225
OG0000320	STRPU_27116	CAPO308077
OG0000320	STRPU_07019	CAPO304008
OG0000322	STRPU_04953, STRPU_04955, STRPU_05710, STRPU_18148, STRPU_05731, STRPU_07690, STRPU_20644, STRPU_20642, STRPU_07689, STRPU_07702	CAPO306406
OG0000326	STRPU_10867, STRPU_10847	CAPO303322
OG0000335	STRPU_25854	CAPO307753
OG0000338	STRPU_02251, STRPU_15548, STRPU_15357, STRPU_26051	CAPO304735
OG0000339	STRPU_25795, STRPU_25777, STRPU_25782, STRPU_25800, STRPU_25779, STRPU_25781, STRPU_25803, STRPU_25817, STRPU_25811, STRPU_25778, STRPU_25797, STRPU_25815, STRPU_25802, STRPU_25799, STRPU_17596, STRPU_17598, STRPU_17599, STRPU_09857, STRPU_25818, STRPU_25804, STRPU_25814, STRPU_25801, STRPU_14998, STRPU_25780, STRPU_08178, STRPU_25807, STRPU_25805, STRPU_25819, STRPU_25784, STRPU_25808, STRPU_25810, STRPU_25816, STRPU_25783	CAPO305264
