Orthogroup	HELIO_ok	SCHMD
OG0000080	HELIO_10367, HELIO_08678, HELIO_04917, HELIO_06961, HELIO_06750, HELIO_05591, HELIO_07354, HELIO_07366, HELIO_06819, HELIO_04053, HELIO_10760, HELIO_07099, HELIO_10773, HELIO_07512	SCHMD10387, SCHMD06434
OG0000082	HELIO_12249	SCHMD03263, SCHMD10119
OG0000082	HELIO_05158	SCHMD24007, SCHMD15475, SCHMD16819, SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210
OG0000083	HELIO_10428	SCHMD16633
OG0000085	HELIO_05344	SCHMD12836
OG0000087	HELIO_02848	SCHMD09399
OG0000087	HELIO_02847	SCHMD09405
OG0000087	HELIO_02846	SCHMD09406
OG0000087	HELIO_10321	SCHMD03394
OG0000087	HELIO_02061	SCHMD21804, SCHMD25814
OG0000087	HELIO_06411, HELIO_07580	SCHMD17003, SCHMD07336
OG0000090	HELIO_04390	SCHMD10805, SCHMD21388
OG0000090	HELIO_09255, HELIO_00241	SCHMD06769
OG0000093	HELIO_00044	SCHMD04238
OG0000093	HELIO_04928, HELIO_06889	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	HELIO_07015	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	HELIO_03878	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	HELIO_07611	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000096	HELIO_03681	SCHMD07753
OG0000096	HELIO_09595	SCHMD10033
OG0000097	HELIO_06145, HELIO_05308, HELIO_02542, HELIO_05671, HELIO_04942	SCHMD22037, SCHMD20326
OG0000098	HELIO_00467, HELIO_11416	SCHMD29644, SCHMD22119
OG0000099	HELIO_00318, HELIO_06995	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000099	HELIO_00319	SCHMD05542
OG0000103	HELIO_03996	SCHMD29081, SCHMD19673
OG0000103	HELIO_12543	SCHMD08147
OG0000106	HELIO_02364, HELIO_07474, HELIO_05614, HELIO_10877	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452	SCHMD11887
OG0000113	HELIO_06754	SCHMD06629, SCHMD02664
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000116	HELIO_07865	SCHMD19105
OG0000117	HELIO_12672	SCHMD24345, SCHMD14483, SCHMD27351
OG0000119	HELIO_09291, HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015, HELIO_08423, HELIO_01329	SCHMD02911
OG0000122	HELIO_00601, HELIO_11330	SCHMD00543, SCHMD16641, SCHMD09849
OG0000123	HELIO_00165	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000123	HELIO_06757	SCHMD07646
OG0000123	HELIO_10689	SCHMD22122, SCHMD14008
OG0000124	HELIO_02264, HELIO_07531	SCHMD10270, SCHMD10271
OG0000124	HELIO_08965	SCHMD08774
OG0000126	HELIO_05678	SCHMD24144
OG0000126	HELIO_07534	SCHMD06494
OG0000126	HELIO_02617	SCHMD01813, SCHMD04253
OG0000127	HELIO_04203	SCHMD03781
OG0000128	HELIO_09757, HELIO_05183, HELIO_03924, HELIO_07945, HELIO_04974	SCHMD25789, SCHMD19594
OG0000128	HELIO_00789	SCHMD29825
OG0000129	HELIO_08318	SCHMD23245, SCHMD26510, SCHMD08406
OG0000129	HELIO_05477	SCHMD05405
OG0000129	HELIO_12045	SCHMD03224
OG0000132	HELIO_02084, HELIO_02083, HELIO_03711	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	HELIO_01589, HELIO_12262	SCHMD09558
OG0000142	HELIO_07399	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000148	HELIO_01322	SCHMD08056
