Orthogroup	HELIO_ok	AENJA_ok
OG0000099	HELIO_00318, HELIO_06995	AENJA_07638, AENJA_14869
OG0000099	HELIO_00319	AENJA_15326
OG0000100	HELIO_07576	AENJA_20876
OG0000100	HELIO_08550	AENJA_12391
OG0000100	HELIO_03096	AENJA_26104, AENJA_06096
OG0000101	HELIO_03317	AENJA_26592
OG0000101	HELIO_11521	AENJA_06142
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	AENJA_21479
OG0000102	HELIO_08564	AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164
OG0000103	HELIO_03996	AENJA_10812
OG0000103	HELIO_12543	AENJA_14367
OG0000104	HELIO_04946	AENJA_04107
OG0000104	HELIO_03807	AENJA_02684
OG0000104	HELIO_05172	AENJA_26666
OG0000105	HELIO_00218, HELIO_01340, HELIO_05453, HELIO_04143, HELIO_02007, HELIO_06456	AENJA_01683, AENJA_01676, AENJA_01677, AENJA_20915
OG0000106	HELIO_02364	AENJA_21591
OG0000106	HELIO_07474	AENJA_13743
OG0000106	HELIO_10877	AENJA_24394, AENJA_24395
OG0000108	HELIO_11770	AENJA_06982
OG0000109	HELIO_00715	AENJA_23715, AENJA_15408
OG0000109	HELIO_04458	AENJA_13828, AENJA_18518, AENJA_16912, AENJA_13953, AENJA_06460, AENJA_11116, AENJA_14472, AENJA_01542, AENJA_15538, AENJA_12477, AENJA_02149, AENJA_19268, AENJA_01689, AENJA_01697, AENJA_01520, AENJA_15125, AENJA_01693, AENJA_25302, AENJA_15124, AENJA_19269, AENJA_19270
OG0000109	HELIO_03843, HELIO_03964, HELIO_08891	AENJA_04502, AENJA_24882
OG0000110	HELIO_05242, HELIO_00041, HELIO_11542	AENJA_16216
OG0000110	HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191	AENJA_01780, AENJA_10578, AENJA_06144, AENJA_06145, AENJA_16217
OG0000110	HELIO_04706	AENJA_19995
OG0000110	HELIO_12166, HELIO_08016, HELIO_01452	AENJA_08732
OG0000113	HELIO_04446, HELIO_08405	AENJA_14458
OG0000114	HELIO_08152	AENJA_23406
OG0000114	HELIO_00027, HELIO_06292	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000115	HELIO_10330	AENJA_02773
OG0000116	HELIO_08217, HELIO_10553, HELIO_06412, HELIO_04872, HELIO_03109, HELIO_04371, HELIO_07156, HELIO_04755, HELIO_00774, HELIO_07866	AENJA_23563, AENJA_23564
OG0000116	HELIO_07865	AENJA_17822
OG0000117	HELIO_02024	AENJA_16260
OG0000117	HELIO_01494	AENJA_08111
OG0000118	HELIO_04682, HELIO_09644	AENJA_22041
