Orthogroup	HELIO_ok	YEAST
OG0000588	HELIO_06031, HELIO_08850	YEAST05197
OG0000590	HELIO_04845, HELIO_05331	YEAST05110, YEAST05552, YEAST03727
OG0000592	HELIO_11966, HELIO_10886	YEAST00388
OG0000597	HELIO_02513, HELIO_06072	YEAST04330
OG0000609	HELIO_02166, HELIO_01095	YEAST05180
OG0000612	HELIO_12611	YEAST02370
OG0000612	HELIO_07229, HELIO_04425	YEAST03629
OG0000613	HELIO_03222, HELIO_12531	YEAST01072
OG0000623	HELIO_01153	YEAST02411
OG0000623	HELIO_01575	YEAST05090
OG0000627	HELIO_01431	YEAST02116, YEAST03957
OG0000639	HELIO_03049, HELIO_03048, HELIO_09484	YEAST02015
OG0000642	HELIO_06112, HELIO_06155	YEAST00618
OG0000645	HELIO_03716	YEAST05140
OG0000645	HELIO_08748	YEAST04743
OG0000647	HELIO_01252, HELIO_01414	YEAST04534
OG0000648	HELIO_05483, HELIO_02387	YEAST04178, YEAST05641
OG0000657	HELIO_00368, HELIO_07143, HELIO_10387	YEAST03846
OG0000660	HELIO_01158, HELIO_12701	YEAST05150, YEAST01587
OG0000662	HELIO_03239, HELIO_05920	YEAST05937
OG0000663	HELIO_00575, HELIO_09383, HELIO_07980	YEAST02675, YEAST03294
OG0000672	HELIO_01185	YEAST03771
OG0000672	HELIO_02468	YEAST00984
OG0000676	HELIO_11959	YEAST01503
OG0000676	HELIO_04321	YEAST02962
OG0000683	HELIO_12315, HELIO_10017	YEAST03152, YEAST03537, YEAST05938
OG0000690	HELIO_00922	YEAST04874
OG0000690	HELIO_02624	YEAST02296
OG0000692	HELIO_12014	YEAST01969
OG0000692	HELIO_02500	YEAST03487
OG0000694	HELIO_08916, HELIO_05625	YEAST05978
OG0000699	HELIO_11713, HELIO_04317	YEAST05706
OG0000701	HELIO_11804, HELIO_02160	YEAST02239, YEAST02223
OG0000703	HELIO_02836	YEAST05314
OG0000708	HELIO_04126, HELIO_01919	YEAST05997
OG0000709	HELIO_07079, HELIO_05292	YEAST00057
OG0000724	HELIO_09105	YEAST02013
OG0000732	HELIO_08995, HELIO_10738	YEAST04978
OG0000733	HELIO_03055, HELIO_00314	YEAST05474
OG0000735	HELIO_11007	YEAST05945
OG0000737	HELIO_05852	YEAST05188
OG0000744	HELIO_12402, HELIO_04178	YEAST05951
OG0000745	HELIO_02255, HELIO_11895	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	HELIO_01912, HELIO_05368, HELIO_02501	YEAST01432, YEAST04483
OG0000753	HELIO_08985, HELIO_08986, HELIO_11488	YEAST01034, YEAST02037
OG0000757	HELIO_03294	YEAST01489
OG0000758	HELIO_08482, HELIO_08479	YEAST01504
OG0000759	HELIO_08744	YEAST02878, YEAST05681
OG0000768	HELIO_00359	YEAST02560, YEAST04269
OG0000772	HELIO_08462, HELIO_06060, HELIO_07606, HELIO_02715	YEAST04929
OG0000776	HELIO_04225, HELIO_09018	YEAST04571, YEAST00195, YEAST00312
OG0000777	HELIO_01199, HELIO_06142, HELIO_04823	YEAST06297, YEAST02627
OG0000779	HELIO_11967, HELIO_02465	YEAST03812
OG0000782	HELIO_03195	YEAST01393, YEAST05616
OG0000791	HELIO_07748	YEAST02375
OG0000794	HELIO_08580, HELIO_07646	YEAST04627
OG0000800	HELIO_11766, HELIO_01323	YEAST03636
OG0000809	HELIO_01972	YEAST01998
OG0000817	HELIO_10156, HELIO_06308	YEAST00389
OG0000817	HELIO_02523	YEAST06112
OG0000824	HELIO_00999	YEAST01319, YEAST02883
OG0000828	HELIO_02812	YEAST00945, YEAST05476, YEAST00075
OG0000828	HELIO_08756	YEAST02290
OG0000837	HELIO_06103	YEAST06222
OG0000841	HELIO_01420	YEAST02416
OG0000847	HELIO_07547	YEAST02530, YEAST00209
OG0000849	HELIO_02567	YEAST04475
OG0000850	HELIO_09938, HELIO_06017	YEAST04287
OG0000852	HELIO_03095, HELIO_01058	YEAST01266
OG0000855	HELIO_00071, HELIO_07301	YEAST04755
OG0000857	HELIO_09917	YEAST00309
OG0000868	HELIO_01384	YEAST06157
OG0000871	HELIO_05455, HELIO_10685, HELIO_01060, HELIO_09841	YEAST03857
OG0000872	HELIO_10138	YEAST03222, YEAST03741
OG0000875	HELIO_11887	YEAST00077
OG0000876	HELIO_09814	YEAST05556
OG0000879	HELIO_12212, HELIO_12213	YEAST06123
OG0000888	HELIO_05889, HELIO_01489	YEAST00288
OG0000889	HELIO_04264, HELIO_00210	YEAST00175
OG0000894	HELIO_06317, HELIO_06932	YEAST03763
OG0000896	HELIO_12759	YEAST02476
OG0000896	HELIO_06843	YEAST04923
OG0000898	HELIO_04279	YEAST06255, YEAST03431
OG0000905	HELIO_07570	YEAST00599
OG0000907	HELIO_12545	YEAST02193
OG0000913	HELIO_06048	YEAST03557, YEAST05101
OG0000914	HELIO_08250	YEAST04745
OG0000921	HELIO_03668	YEAST02526
OG0000925	HELIO_09608, HELIO_02417	YEAST05667, YEAST06025
OG0000932	HELIO_12492, HELIO_07928	YEAST03525
OG0000933	HELIO_10228	YEAST06306
OG0000934	HELIO_01254	YEAST02582, YEAST06252
OG0000934	HELIO_02606	YEAST05040
OG0000935	HELIO_05900	YEAST02843
OG0000943	HELIO_08389, HELIO_02640, HELIO_02892	YEAST03805
OG0000944	HELIO_00838, HELIO_00839	YEAST04878
OG0000954	HELIO_08553, HELIO_10186	YEAST05503, YEAST01249
OG0000955	HELIO_03286	YEAST00837
OG0000955	HELIO_07820	YEAST04295
OG0000963	HELIO_01247, HELIO_02112	YEAST03685, YEAST00482, YEAST01749
