Orthogroup	HELIO_ok	APOSC_ok
OG0000025	HELIO_04102, HELIO_05474, HELIO_04209, HELIO_04160, HELIO_03948, HELIO_05479, HELIO_06857	APOSC_04291
OG0000025	HELIO_05333	APOSC_10546, APOSC_03176
OG0000025	HELIO_05243, HELIO_04943, HELIO_07532, HELIO_06878	APOSC_25716
OG0000025	HELIO_05701	APOSC_04817
OG0000025	HELIO_05635, HELIO_06741	APOSC_15835, APOSC_10002, APOSC_03320, APOSC_08050, APOSC_11235, APOSC_13630, APOSC_13492, APOSC_02242
OG0000026	HELIO_04505	APOSC_25312
OG0000026	HELIO_00695, HELIO_00694	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010
OG0000026	HELIO_09541	APOSC_14214
OG0000027	HELIO_02455, HELIO_02456, HELIO_04291, HELIO_07880, HELIO_08186, HELIO_04887	APOSC_00367, APOSC_04798, APOSC_15438, APOSC_25751, APOSC_07487, APOSC_07887, APOSC_13318, APOSC_08776, APOSC_13270
OG0000027	HELIO_06026	APOSC_23292
OG0000027	HELIO_07228, HELIO_05233, HELIO_07068, HELIO_05709	APOSC_07467, APOSC_02536, APOSC_10438, APOSC_21792
OG0000028	HELIO_06874, HELIO_00161	APOSC_00641
OG0000028	HELIO_08437	APOSC_02251
OG0000028	HELIO_06962	APOSC_18684
OG0000028	HELIO_00147	APOSC_14441
OG0000028	HELIO_06013	APOSC_06053
OG0000028	HELIO_00961	APOSC_22599
OG0000028	HELIO_06306	APOSC_17838, APOSC_17839
OG0000028	HELIO_06269	APOSC_22919, APOSC_22920
OG0000028	HELIO_12146	APOSC_04522
OG0000029	HELIO_10546	APOSC_07574
OG0000029	HELIO_00115	APOSC_20436
OG0000029	HELIO_05447	APOSC_04700
OG0000029	HELIO_05915	APOSC_18084
OG0000029	HELIO_06866, HELIO_02296, HELIO_09944, HELIO_05648, HELIO_01633, HELIO_06816	APOSC_15506
OG0000030	HELIO_11997	APOSC_23944, APOSC_11647, APOSC_21982
OG0000030	HELIO_04525, HELIO_09505	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	HELIO_06719	APOSC_00359
OG0000030	HELIO_06628	APOSC_27610
OG0000031	HELIO_00637	APOSC_14603
OG0000031	HELIO_00475	APOSC_14687
OG0000031	HELIO_11237	APOSC_14535
OG0000031	HELIO_00951	APOSC_00328
OG0000031	HELIO_11573	APOSC_01319
OG0000031	HELIO_00638	APOSC_17680
OG0000031	HELIO_00007	APOSC_02579
OG0000031	HELIO_02162	APOSC_22997
OG0000032	HELIO_03061	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129
OG0000032	HELIO_05612	APOSC_24218
