Orthogroup	OWEFU	APOSJ_ok
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105, APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117
OG0000014	OFUSG00805.1.p1	APOSJ_28331, APOSJ_28332
OG0000015	OFUSG02249.1.p1	APOSJ_33839
OG0000015	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1	APOSJ_04715
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	OFUSG16773.1.p1	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337
OG0000016	OFUSG10402.1.p1	APOSJ_40020
OG0000016	OFUSG13895.1.p1	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441
OG0000016	OFUSG11848.1.p1	APOSJ_31207
OG0000016	OFUSG06227.1.p1	APOSJ_03790
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	APOSJ_21975, APOSJ_58384, APOSJ_11248
OG0000018	OFUSG14111.1.p3	APOSJ_04828
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	APOSJ_25021
OG0000019	OFUSG08823.1.p1	APOSJ_63124
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	APOSJ_50969, APOSJ_54491, APOSJ_65164, APOSJ_10516, APOSJ_17340, APOSJ_10420, APOSJ_51391, APOSJ_51392, APOSJ_58483
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	APOSJ_49365
OG0000020	OFUSG13197.1.p1	APOSJ_38031
OG0000020	OFUSG19131.1.p1	APOSJ_03215
OG0000020	OFUSG13406.1.p1	APOSJ_17336, APOSJ_17335
OG0000020	OFUSG14744.1.p1	APOSJ_45822, APOSJ_45820, APOSJ_45821
OG0000021	OFUSG18643.1.p1	APOSJ_47375, APOSJ_47376
OG0000021	OFUSG19367.2.p1, OFUSG19367.1.p1	APOSJ_00267, APOSJ_00268, APOSJ_01716
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	APOSJ_16640, APOSJ_16638
