Orthogroup	OWEFU	NEMVE
OG0000029	OFUSG26611.2.p1, OFUSG26611.1.p1	NEMVE03602
OG0000029	OFUSG21155.1.p1	NEMVE10355, NEMVE09829, NEMVE10357
OG0000030	OFUSG17928.1.p1, OFUSG18203.1.p1, OFUSG10901.1.p1, OFUSG10241.1.p1	NEMVE14217, NEMVE02377, NEMVE09974
OG0000030	OFUSG17612.1.p1, OFUSG12869.1.p1, OFUSG05001.1.p1	NEMVE02213, NEMVE02794
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	NEMVE06265
OG0000030	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1	NEMVE06266, NEMVE00220
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	NEMVE00311, NEMVE00632, NEMVE02249
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	NEMVE01854
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	NEMVE06981
OG0000031	OFUSG03938.1.p1	NEMVE01806
OG0000031	OFUSG09754.1.p1	NEMVE01412
OG0000031	OFUSG12627.1.p1	NEMVE02343
OG0000031	OFUSG02210.1.p1	NEMVE07820
OG0000031	OFUSG17671.1.p1	NEMVE12067
OG0000031	OFUSG16797.1.p1	NEMVE22486
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	NEMVE07311, NEMVE07285
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	NEMVE10927
OG0000034	OFUSG08780.1.p1	NEMVE10961, NEMVE24294
OG0000034	OFUSG00313.1.p1	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	OFUSG10792.1.p1, OFUSG10792.2.p1	NEMVE05344
OG0000034	OFUSG08088.1.p1	NEMVE06831
OG0000034	OFUSG09735.1.p1	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	OFUSG16461.1.p1	NEMVE23841
OG0000035	OFUSG09470.1.p1	NEMVE22676
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	OFUSG07851.1.p1	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	NEMVE07419, NEMVE07417
